question_num,length_score,rouge_l_score,bleu_score,bert_score_precision,bert_score_recall,bert_score_f1,jaccard_score,cosine_similarity,cosine_similarity_spacy,spacy_score,ragas_score_faithfulness,ragas_score_answer_relevancy,ragas_score_context_precision,ragas_score_context_recall,mds,audience_type,experiment_name,chunksize,chunkoverlap,embedding_model,config_name,num_retrieve,llm_name,llm_temp,llm_max_new_tokens,llm_top_p,llm_do_sample,llm_repetition_penalty,inference_time
0,0.7857142857142857,0.2654028436018957,0.05680031460170201,0.60944104,0.65670276,0.6321898,0.18032786885245902,0.5873011,0.9594186544418335,0.0,0.75,0.9010710248725659,0.94999999997625,1.0,0.7877801461544339,research,prompts_mds,512,100,multi-qa-mpnet-base-dot-v1,research_1,5,mistralai/Mistral-7B-Instruct-v0.3,0.2,200,0.95,True,1.1,301.477239
7,0.7912087912087912,0.29069767441860467,0.1537546397277659,0.63808495,0.65240186,0.645164,0.12280701754385964,0.80744636,0.9546110033988953,0.0,0.6,0.9398413405169764,0.99999999998,0.5,0.7574797012507508,research,prompts_mds,512,100,multi-qa-mpnet-base-dot-v1,research_1,5,mistralai/Mistral-7B-Instruct-v0.3,0.2,200,0.95,True,1.1,301.477239
11,0.75,0.20430107526881722,0.0,0.532836,0.6140272,0.57055765,0.06451612903225806,0.5876634,0.971842348575592,0.0,1.0,0.9637350958104383,0.8766666666491334,1.0,0.8111969206288373,research,prompts_mds,512,100,multi-qa-mpnet-base-dot-v1,research_1,5,mistralai/Mistral-7B-Instruct-v0.3,0.2,200,0.95,True,1.1,301.477239
19,0.6818181818181818,0.1073170731707317,0.0,0.5378653,0.6193119,0.57572234,0.05,0.48066002,0.9344287514686584,0.0,1.0,0.8492330762510081,0.5888888888692593,0.6666666666666666,0.712682863671401,research,prompts_mds,512,100,multi-qa-mpnet-base-dot-v1,research_1,5,mistralai/Mistral-7B-Instruct-v0.3,0.2,200,0.95,True,1.1,301.477239
27,0.7913043478260869,0.2641509433962264,0.14300766868815645,0.6610001,0.6995149,0.67971236,0.2,0.86262393,0.9834949374198914,0.0,0.7142857142857143,1.0,0.99999999998,0.75,0.8211511120407236,research,prompts_mds,512,100,multi-qa-mpnet-base-dot-v1,research_1,5,mistralai/Mistral-7B-Instruct-v0.3,0.2,200,0.95,True,1.1,301.477239
28,0.7272727272727273,0.2937853107344633,0.18516643850231584,0.65913457,0.7005113,0.6791933,0.2033898305084746,0.79990506,0.9822797775268555,0.4444444444444444,1.0,0.9133024555961834,0.99999999998,0.3333333333333333,0.8757981606785308,research,prompts_mds,512,100,multi-qa-mpnet-base-dot-v1,research_1,5,mistralai/Mistral-7B-Instruct-v0.3,0.2,200,0.95,True,1.1,301.477239
33,0.8429752066115702,0.3776824034334764,0.22650677474288222,0.60826075,0.6385622,0.6230433,0.19298245614035087,0.7703989,0.9686110019683838,0.4,0.8,0.8870034440290084,0.99999999998,0.75,0.8028233254082233,research,prompts_mds,512,100,multi-qa-mpnet-base-dot-v1,research_1,5,mistralai/Mistral-7B-Instruct-v0.3,0.2,200,0.95,True,1.1,301.477239
53,0.7289719626168224,0.19387755102040813,0.10973104543641526,0.61339766,0.6250349,0.6191616,0.15151515151515152,0.66169095,0.9661052823066711,0.0,1.0,0.861046749567879,0.99999999998,1.0,0.8374395091019028,research,prompts_mds,512,100,multi-qa-mpnet-base-dot-v1,research_1,5,mistralai/Mistral-7B-Instruct-v0.3,0.2,200,0.95,True,1.1,301.477239
63,0.5774647887323944,0.3722943722943723,0.17039804346462517,0.66445583,0.7471299,0.7033718,0.2647058823529412,0.8637644,0.9803335070610046,0.33333333333333337,0.8333333333333334,0.9640063217677572,0.99999999998,1.0,0.8585421478921046,research,prompts_mds,512,100,multi-qa-mpnet-base-dot-v1,research_1,5,mistralai/Mistral-7B-Instruct-v0.3,0.2,200,0.95,True,1.1,301.477239
76,0.610738255033557,0.1951219512195122,0.0,0.61487645,0.67115986,0.6417866,0.17333333333333334,0.82755923,0.9765067100524902,0.0,1.0,0.8470476669107058,0.99999999998,1.0,0.8441095319000078,research,prompts_mds,512,100,multi-qa-mpnet-base-dot-v1,research_1,5,mistralai/Mistral-7B-Instruct-v0.3,0.2,200,0.95,True,1.1,301.477239
