question_num,length_score,rouge_l_score,bleu_score,bert_score_precision,bert_score_recall,bert_score_f1,jaccard_score,cosine_similarity,cosine_similarity_spacy,spacy_score,ragas_score_faithfulness,ragas_score_answer_relevancy,ragas_score_context_precision,ragas_score_context_recall,audience_type,experiment_name,chunksize,chunkoverlap,embedding_model,config_name,num_retrieve,llm_name
0,0.7966101694915254,0.3063063063063063,0.067327878913641,0.7108633,0.7569474,0.73318195,0.1521739130434782,0.8383609,0.968360424041748,0.6666666666666666,0.6,0.8970529347446524,0.6968253968114603,1.0,marketing,embeddings,512,100,multi-qa-distilbert-cos-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3
7,0.25,0.1558441558441558,0.0435247008437588,0.52776146,0.67146623,0.59100366,0.12,0.741655,0.8671998381614685,0.0,0.0,0.0,0.0,1.0,marketing,embeddings,512,100,multi-qa-distilbert-cos-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3
11,0.2325581395348837,0.0754716981132075,0.0,0.52510977,0.6522862,0.5818295,0.0,0.30185294,0.8139280676841736,0.0,0.0,0.9689968929873186,0.7555555555303703,1.0,marketing,embeddings,512,100,multi-qa-distilbert-cos-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3
19,0.82,0.1684210526315789,0.0608198843553878,0.6311785,0.6346452,0.6329071,0.05,0.4984891,0.9356428980827332,0.0,0.0,0.8999334626287281,0.3333333333,0.5,marketing,embeddings,512,100,multi-qa-distilbert-cos-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3
27,0.4074074074074074,0.2784810126582279,0.0777435380295143,0.63085043,0.7751317,0.69558805,0.1428571428571428,0.76453817,0.8929513096809387,0.0,0.6,0.8717810241056175,0.94999999997625,1.0,marketing,embeddings,512,100,multi-qa-distilbert-cos-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3
28,0.8095238095238095,0.358974358974359,0.1883923520388953,0.7151022,0.746497,0.73046243,0.1935483870967742,0.90468717,0.9660239219665528,0.5,1.0,0.9595910986898244,0.99999999998,1.0,marketing,embeddings,512,100,multi-qa-distilbert-cos-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3
33,0.9583333333333334,0.44,0.1974467920558816,0.72376525,0.65105236,0.68548596,0.24,0.9066805,0.9450863003730774,0.0,1.0,0.9891513944353928,0.99999999998,1.0,marketing,embeddings,512,100,multi-qa-distilbert-cos-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3
53,0.4864864864864865,0.2807017543859649,0.0938713373143913,0.65525,0.69997036,0.6768724,0.1590909090909091,0.7609242,0.9620811343193054,0.0,0.5,0.8522383818369212,0.99999999998,1.0,marketing,embeddings,512,100,multi-qa-distilbert-cos-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3
63,0.5588235294117647,0.2702702702702703,0.0713498992094874,0.6365253,0.7783458,0.7003278,0.1914893617021276,0.76657146,0.9684673547744752,0.0,0.8333333333333334,0.829592137484041,0.99999999998,1.0,marketing,embeddings,512,100,multi-qa-distilbert-cos-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3
76,0.5064935064935064,0.1864406779661017,0.0,0.6335096,0.70567495,0.66764784,0.1020408163265306,0.7415017,0.9540961980819702,0.0,0.4444444444444444,0.8880717380817162,0.5888888888692593,1.0,marketing,embeddings,512,100,multi-qa-distilbert-cos-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3
87,0.293103448275862,0.2666666666666666,0.1297342262837731,0.6077799,0.8496808,0.7086558,0.28125,0.61291367,0.9420672655105592,0.5,0.5,0.9602918769200652,0.9999999999,1.0,marketing,embeddings,512,100,multi-qa-distilbert-cos-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3
92,0.945945945945946,0.357615894039735,0.0,0.7071111,0.6876277,0.6972333,0.1272727272727272,0.610378,0.96782249212265,0.0,0.9230769230769232,0.8540460432320981,0.7095238095060713,0.7777777777777778,marketing,embeddings,512,100,multi-qa-distilbert-cos-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3
95,0.734375,0.1578947368421052,0.0,0.5788704,0.64488244,0.610096,0.0384615384615384,0.5521226,0.958931028842926,0.0,0.5714285714285714,0.8657496980242542,0.8874999999778125,0.6666666666666666,marketing,embeddings,512,100,multi-qa-distilbert-cos-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3
103,0.5777777777777777,0.4225352112676057,0.0,0.7134031,0.81582975,0.7611862,0.2424242424242424,0.8468946,0.9633020162582396,0.0,0.75,0.9307521011360674,0.99999999998,1.0,marketing,embeddings,512,100,multi-qa-distilbert-cos-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3
110,0.8392857142857143,0.2524271844660194,0.1819430843405478,0.69464153,0.66588074,0.67995715,0.1578947368421052,0.91089374,0.9637662768363952,0.0,0.0,0.9810518563895716,0.8874999999778125,1.0,marketing,embeddings,512,100,multi-qa-distilbert-cos-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3
0,0.8148148148148148,0.273170731707317,0.0543265147237329,0.6762205,0.69732666,0.6866114,0.1904761904761904,0.68389153,0.9742696285247804,0.0,1.0,0.889132874958774,0.6968253968114603,0.3333333333333333,research,embeddings,512,100,multi-qa-distilbert-cos-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3
7,0.3846153846153846,0.1666666666666666,0.0203726034493266,0.6144288,0.5481677,0.57941,0.0980392156862745,0.6606293,0.9485193490982056,0.0,0.5,0.0,0.99999999998,1.0,research,embeddings,512,100,multi-qa-distilbert-cos-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3
