question_num,length_score,rouge_l_score,bleu_score,bert_score_precision,bert_score_recall,bert_score_f1,jaccard_score,cosine_similarity,cosine_similarity_spacy,spacy_score,ragas_score_faithfulness,ragas_score_answer_relevancy,ragas_score_context_precision,ragas_score_context_recall,mds,audience_type,experiment_name,chunksize,chunkoverlap,embedding_model,config_name,num_retrieve,llm_name,llm_temp,llm_top_p,llm_do_sample,llm_repetition_penalty,inference_time
0,0.7966101694915254,0.30630630630630634,0.06732787891364103,0.7108633,0.7569472,0.73318183,0.15217391304347827,0.8383609,0.968360424041748,0.6666666666666666,0.75,0.8970529347446524,0.6968253968114603,0.5,0.7623269224360718,marketing,embeddings_mds,512,100,multi-qa-distilbert-cos-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
7,0.25,0.15584415584415584,0.04352470084375888,0.52776134,0.67146647,0.5910037,0.12,0.7416552,0.8671998381614685,0.0,0.5,0.0,0.249999999975,1.0,3.999999996923185e-10,marketing,embeddings_mds,512,100,multi-qa-distilbert-cos-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
11,0.23255813953488372,0.07547169811320754,0.0,0.5251096,0.65228605,0.58182937,0.0,0.30185306,0.8139280676841736,0.0,0.0,0.9689968929873186,0.7555555555303703,0.0,3.9999999983703023e-10,marketing,embeddings_mds,512,100,multi-qa-distilbert-cos-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
19,0.82,0.16842105263157894,0.06081988435538784,0.63117844,0.6346451,0.632907,0.05,0.49848914,0.9356428980827332,0.0,0.0,0.8999334626287281,0.5833333333041666,0.5,3.9999999982378046e-10,marketing,embeddings_mds,512,100,multi-qa-distilbert-cos-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
27,0.4074074074074074,0.2784810126582279,0.07774353802951435,0.6308504,0.77513146,0.69558793,0.14285714285714285,0.7645383,0.8929513096809387,0.0,0.6,0.9708922148418011,0.99999999998,1.0,0.7790771181595196,marketing,embeddings_mds,512,100,multi-qa-distilbert-cos-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
28,0.8095238095238095,0.35897435897435903,0.18839235203889532,0.7151022,0.7464968,0.7304624,0.1935483870967742,0.90468705,0.9660239219665527,0.5,1.0,0.9595910986898244,0.99999999998,1.0,0.9068019664338313,marketing,embeddings_mds,512,100,multi-qa-distilbert-cos-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
33,0.9583333333333334,0.44,0.19744679205588161,0.7237652,0.6510523,0.6854859,0.24,0.9066805,0.9450863003730774,0.0,0.3333333333333333,0.9891513944353935,0.99999999998,1.0,0.6182583890325002,marketing,embeddings_mds,512,100,multi-qa-distilbert-cos-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
53,0.4864864864864865,0.2807017543859649,0.09387133731439135,0.6552501,0.6999703,0.6768724,0.1590909090909091,0.7609242,0.9620811343193054,0.0,0.3333333333333333,0.9632744941409508,0.99999999998,1.0,0.6139197965887556,marketing,embeddings_mds,512,100,multi-qa-distilbert-cos-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
63,0.5588235294117647,0.2702702702702703,0.07134989920948745,0.63652533,0.77834594,0.70032793,0.19148936170212766,0.76657146,0.9684673547744751,0.0,0.8333333333333334,0.8295921374840417,0.99999999998,1.0,0.8275895040949734,marketing,embeddings_mds,512,100,multi-qa-distilbert-cos-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
76,0.5064935064935064,0.1864406779661017,0.0,0.63350964,0.7056749,0.6676479,0.10204081632653061,0.74150205,0.9540961980819702,0.0,0.5555555555555556,0.8880730159601982,0.6791666666496875,1.0,0.6784005496564623,marketing,embeddings_mds,512,100,multi-qa-distilbert-cos-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
87,0.29310344827586204,0.26666666666666666,0.12973422628377315,0.60778,0.8496809,0.7086558,0.28125,0.6129134,0.9420672655105591,0.5,0.5,0.9602918769200658,0.62499999996875,1.0,0.6608869484154158,marketing,embeddings_mds,512,100,multi-qa-distilbert-cos-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
92,0.9459459459459459,0.35761589403973504,0.0,0.70711124,0.6876277,0.6972334,0.12727272727272726,0.61037827,0.9678224921226501,0.0,0.9230769230769231,0.8540460432320981,0.7095238095060713,0.5,0.7846419907271934,marketing,embeddings_mds,512,100,multi-qa-distilbert-cos-v1,optimal,5,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
