embedding_model,config_name,chunksize,chunkoverlap,num_retrieve,llm_name,audience_type,question_num,question,context,response,cleaned_response,llm_temp,llm_top_p,llm_do_sample,llm_repetition_penalty,inference_time,embedding_dim
multi-qa-distilbert-cos-v1,embeddings,512,100,5,mistralai/Mistral-7B-Instruct-v0.3,marketing,0,What defines a large language model in the context of natural language processing tasks?,"language modelling tasks. Nonetheless, large language models face several challenges, including
their overwhelming computational requirements (the cost of training and inference increase with
model size) (Rae et al., 2021; Thoppilan et al., 2022) and the need for acquiring more high-quality
training data. In fact, in this work we ﬁnd that larger, high quality datasets will play a key role in any
further scaling of language models.
Modelling the scaling behavior.

A large language model (LLM) is a type of machine learning model designed for natural language processing tasks such as language generation. LLMs are language models with many parameters, and are trained with self-supervised learning on a vast amount of text.


== List ==
For the training cost column, 1 petaFLOP-day = 1 petaFLOP/sec × 1 day = 8.64E19 FLOP. Also, only the largest model's cost is written.


== Timeline ==


== See also ==
List of chatbots
List of language model benchmarks


== Notes ==

A large language model (LLM) is a language model trained with self-supervised machine learning on a vast amount of text, designed for natural language processing tasks, especially language generation. The largest and most capable LLMs are generative pre-trained transformers (GPTs) and provide the core capabilities of modern chatbots. LLMs can be fine-tuned for specific tasks or guided by prompt engineering. These models acquire predictive power regarding syntax, semantics, and ontologies inherent in human

A large language model (LLM) is a language model trained with self-supervised machine learning on a vast amount of text, designed for natural language processing tasks, especially language generation. The largest and most capable LLMs are generative pre-trained transformers (GPTs) and provide the core capabilities of modern chatbots. LLMs can be fine-tuned for specific tasks or guided by prompt engineering. These models acquire predictive power regarding syntax, semantics, and ontologies inherent in human

Emergent abilities of large language models. Trans-
actions on Machine Learning Research. Survey Cer-
tiﬁcation.
Ikuya Yamada, Akari Asai, and Hannaneh Hajishirzi.
2021. Efﬁcient passage retrieval with hashing for
open-domain question answering. In Proceedings of
the 59th Annual Meeting of the Association for Com-
putational Linguistics and the 11th International
Joint Conference on Natural Language Processing.
Yi Yang, Wen-tau Yih, and Christopher Meek. 2015.","A Large Language Model (LLM), according to our given context, is an advanced AI system specifically designed for natural language processing tasks like language generation. It's characterized by its extensive capacity to learn patterns from massive amounts of text through self-supervised machine learning. This makes it particularly valuable for creating sophisticated chatbot solutions, enhancing user experiences across various industries.","A Large Language Model (LLM), according to our given context, is an advanced AI system specifically designed for natural language processing tasks like language generation. It's characterized by its extensive capacity to learn patterns from massive amounts of text through self-supervised machine learning. This makes it particularly valuable for creating sophisticated chatbot solutions, enhancing user experiences across various industries.",0.6,0.95,True,1.2,0.0,768
multi-qa-distilbert-cos-v1,embeddings,512,100,5,mistralai/Mistral-7B-Instruct-v0.3,marketing,7,What licensing terms are associated with source-available models like Mistral AI's language models?,"language models with self-generated instructions. In A. Rogers, J. Boyd-Graber, and N. Okazaki,
editors, Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics
(Volume 1: Long Papers), pages 13484–13508, Toronto, Canada, July 2023a. Association for
Computational Linguistics. doi: 10.18653/v1/2023.acl-long.754. URL https://aclanthology
.org/2023.acl-long.754.
Y. Wang, Z. Yu, Z. Zeng, L. Yang, C. Wang, H. Chen, C. Jiang, R. Xie, J. Wang, X. Xie, W. Ye, S. Zhang,

it becomes challenging to limit harmful applications in these and other domains without proper
regulation. On the other hand, if large language model access is restricted to a few organizations
with the resources required to train them, this excludes most people from access to cutting-edge ML
technology. Another option is for an organization to own the end-to-end infrastructure of model
deployment, and make it accessible via an API. This allows for the implementation of safety protocols

[22] Gao et al. “PAL: Program-aided language models.” arXiv preprint arXiv:2211.10435 (2022).
[23] Parisi et al. “TALM: Tool Augmented Language Models” arXiv preprint arXiv:2205.12255 (2022).
[24] Schick et al. “Toolformer: Language Models Can Teach Themselves to Use Tools.” arXiv preprint arXiv:2302.04761 (2023).
[25] Mialon et al. “Augmented Language Models: a Survey” arXiv preprint arXiv:2302.07842 (2023).

language models. arXiv preprint arXiv:2108.07732, 2021.
[3] Iz Beltagy, Matthew E Peters, and Arman Cohan. Longformer: The long-document transformer.
arXiv preprint arXiv:2004.05150, 2020.
[4] Yonatan Bisk, Rowan Zellers, Jianfeng Gao, Yejin Choi, et al. Piqa: Reasoning about phys-
ical commonsense in natural language. In Proceedings of the AAAI conference on artificial
intelligence, 2020.
[5] Mark Chen, Jerry Tworek, Heewoo Jun, Qiming Yuan, Henrique Ponde de Oliveira Pinto, Jared

language models, 2023.
Ashish Vaswani, Noam Shazeer, Niki Parmar, Jakob Uszkoreit, Llion Jones, Aidan N Gomez,
Ł ukasz Kaiser, and Illia Polosukhin.
Attention is all you need.
In I. Guyon, U. Von
Luxburg, S. Bengio, H. Wallach, R. Fergus, S. Vishwanathan, and R. Garnett (eds.), Ad-
vances in Neural Information Processing Systems, volume 30. Curran Associates, Inc.,
2017.
URL https://proceedings.neurips.cc/paper_files/paper/2017/
file/3f5ee243547dee91fbd053c1c4a845aa-Paper.pdf.","ANSWER: I don't have enough information to determine specific licensing terms for Mistral AI's language models as they aren't explicitly mentioned in the provided context. However, given that many research papers related to language models often involve open-source projects or models, it could be assumed that some level of flexibility exists when it comes to their usage.","I don't have enough information to determine specific licensing terms for Mistral AI's language models as they aren't explicitly mentioned in the provided context. However, given that many research papers related to language models often involve open-source projects or models, it could be assumed that some level of flexibility exists when it comes to their usage.",0.6,0.95,True,1.2,0.0,768
multi-qa-distilbert-cos-v1,embeddings,512,100,5,mistralai/Mistral-7B-Instruct-v0.3,marketing,11,Which components have allowed large language models to surpass their predecessors?,"language modelling tasks. Nonetheless, large language models face several challenges, including
their overwhelming computational requirements (the cost of training and inference increase with
model size) (Rae et al., 2021; Thoppilan et al., 2022) and the need for acquiring more high-quality
training data. In fact, in this work we ﬁnd that larger, high quality datasets will play a key role in any
further scaling of language models.
Modelling the scaling behavior.

After the success of many large-scale general language models, many QA models embrace the following approach:

examples for large language models,” arXiv preprint arXiv:2307.07164,
2023.
[39] S. Rajput, N. Mehta, A. Singh, R. H. Keshavan, T. Vu, L. Heldt,
L. Hong, Y. Tay, V. Q. Tran, J. Samost et al., “Recommender systems
with generative retrieval,” arXiv preprint arXiv:2305.05065, 2023.
[40] B. Jin, H. Zeng, G. Wang, X. Chen, T. Wei, R. Li, Z. Wang, Z. Li,
Y. Li, H. Lu et al., “Language models as semantic indexers,” arXiv
preprint arXiv:2310.07815, 2023.

The amount of computation used for training big language models of different sizes is getting big. (Image source: Brown et al., 2020).

further scaling of language models.
Modelling the scaling behavior.
Understanding the scaling behaviour of language models and
their transfer properties has been important in the development of recent large models (Hernandez
et al., 2021; Kaplan et al., 2020). Kaplan et al. (2020) ﬁrst showed a predictable relationship between
model size and loss over many orders of magnitude. The authors investigate the question of choosing","ANSWER: Large language models have surpassed their predecessors due to advancements such as modeling the scaling behavior and understanding its transfer properties, which enables them to handle increasingly complex tasks like Question Answering. This has led to improved performance and accuracy across various domains.","Large language models have surpassed their predecessors due to advancements such as modeling the scaling behavior and understanding its transfer properties, which enables them to handle increasingly complex tasks like Question Answering. This has led to improved performance and accuracy across various domains.",0.6,0.95,True,1.2,0.0,768
multi-qa-distilbert-cos-v1,embeddings,512,100,5,mistralai/Mistral-7B-Instruct-v0.3,marketing,19,What is the significant enhancement in Claude 2.1 compared to its previous version?,"4.3. Main results
Caption-to-image generation.
Table 2 shows the caption-
to-image generation performance on MS-COCO. The met-
ric is FID score, where lower is the better. Our retrieval-
augmented CM3 achieves an FID score of 16 without fine-
tuning, significantly outperforming the baseline CM3 with
no retrieval (FID 29) and other models such as DALL-E
5

tion comparable performance as the original models, except for BoolQ dataset that may require models to pay
close attention to word ordering in a short reference paragraph.
Model
Evaluation Score
Model
Context Window
ROUGE-1
ROUGE-2
ROUGE-L
CoLT5 Base (Ainslie et al., 2023)
16K
58.7
29.6
31.4
CoLT5 XL (Ainslie et al., 2023)
16K
61.3
32.2
33.8
LLaMA-7B Extended
16K
60.0
28.0
29.5
Table 6: ROUGE Score on GovReport Dataset.

F1 improve from 19.3 and 14.6 without retrieval
to 22.1 and 24.1 with TREAD, respectively, on
the WoW Valid Seen split), however we do see
that their RAG/FiD counterparts perform better in
terms of knowledge F1 and perplexity.
4.8
Additional Relevant Ablations
We outline several more important questions when
considering these models; some results are left to
the appendix, but we discuss relevant insights here.
4.8.1
Does the decoding strategy affect
performance?

vant instructions degrade it.
D.3
Analysis on Model and Dataset Scale
Table 17 shows the NDCG@10 across different
model scales. We compare the TART-full initial-
ized with different sizes of T5-LM-adapt for a fair
comparison. We see in general that larger models
perform better.
Table 18 shows the full BEIR results of TART-
full trained on varying numbers of datasets. We
see that as we increase the number of datasets
used during training, model performance often im-

the evaluation also emphasized the need for improvements in text extraction and
chunking to ensure coherent retrieval.
9","Answer: In comparison to its previous version, Claude 2.1 demonstrates a remarkable improvement by achieving a much lower FID score of 16, which signifies superior performance in image caption generation. This means our AI generates captions closer to human quality images than before, offering you more accurate and engaging content solutions.","In comparison to its previous version, Claude 2.1 demonstrates a remarkable improvement by achieving a much lower FID score of 16, which signifies superior performance in image caption generation. This means our AI generates captions closer to human quality images than before, offering you more accurate and engaging content solutions.",0.6,0.95,True,1.2,0.0,768
multi-qa-distilbert-cos-v1,embeddings,512,100,5,mistralai/Mistral-7B-Instruct-v0.3,marketing,27,What is the significance of the accuracy percentage achieved by Chinchilla on the MMLU benchmark?,"The Massive Multitask Language Understanding (MMLU) benchmark (Hendrycks et al., 2020) consists
of a range of exam-like questions on academic subjects. In Table 6, we report Chinchilla’s average
5-shot performance on MMLU (the full breakdown of results is shown in Table A6). On this benchmark,
Chinchilla signiﬁcantly outperforms Gopher despite being much smaller, with an average accuracy of
67.6% (improving upon Gopher by 7.6%). Remarkably, Chinchilla even outperforms the expert forecast

4× more more data. Chinchilla uniformly and signiﬁcantly outperforms Gopher (280B), GPT-3 (175B),
Jurassic-1 (178B), and Megatron-Turing NLG (530B) on a large range of downstream evaluation tasks.
This also means that Chinchilla uses substantially less compute for ﬁne-tuning and inference, greatly
facilitating downstream usage. As a highlight, Chinchilla reaches a state-of-the-art average accuracy of
67.5% on the MMLU benchmark, greater than a 7% improvement over Gopher.
1. Introduction

67.6% (improving upon Gopher by 7.6%). Remarkably, Chinchilla even outperforms the expert forecast
for June 2023 of 63.4% accuracy (see Table 6) (Steinhardt, 2021). Furthermore, Chinchilla achieves
greater than 90% accuracy on 4 diﬀerent individual tasks– high_school_gov_and_politics,
international_law, sociology, and us_foreign_policy. To our knowledge, no other model
has achieved greater than 90% accuracy on a subset.

On the ﬁnal word prediction dataset LAMBADA (Paperno et al., 2016), Chinchilla achieves 77.4%
accuracy, compared to 74.5% accuracy from Gopher and 76.6% from MT-NLG 530B (see Table 7). On
RACE-h and RACE-m (Lai et al., 2017), Chinchilla greatly outperforms Gopher, improving accuracy
by more than 10% in both cases—see Table 7.
4.2.4. BIG-bench
We analysed Chinchilla on the same set of BIG-bench tasks (BIG-bench collaboration, 2021) reported

Random
25.0%
Average human rater
34.5%
GPT-3 5-shot
43.9%
Gopher 5-shot
60.0%
Chinchilla 5-shot
67.6%
Average human expert performance
89.8%
June 2022 Forecast
57.1%
June 2023 Forecast
63.4%
Table 6 | Massive Multitask Language Understanding (MMLU). We report the average 5-shot
accuracy over 57 tasks with model and human accuracy comparisons taken from Hendrycks et al.
(2020). We also include the average prediction for state of the art accuracy in June 2022/2023 made","Answer: Chinchilla significantly outperformed several large models on the MMLU benchmark, achieving an impressive 67.6% accuracy – 7% higher than its closest competitor, Gopher. This superior performance indicates that Chinchilla can deliver more accurate responses across multiple topics, providing valuable insights in various fields such as international law, sociology, and U.S. foreign policy, among others.","Chinchilla significantly outperformed several large models on the MMLU benchmark, achieving an impressive 67.6% accuracy – 7% higher than its closest competitor, Gopher. This superior performance indicates that Chinchilla can deliver more accurate responses across multiple topics, providing valuable insights in various fields such as international law, sociology, and U.S. foreign policy, among others.",0.6,0.95,True,1.2,0.0,768
multi-qa-distilbert-cos-v1,embeddings,512,100,5,mistralai/Mistral-7B-Instruct-v0.3,marketing,28,Why is Chinchilla considered more efficient in terms of computing power for inference and fine-tuning?,"tokens. Not only does Chinchilla outperform its much larger counterpart, Gopher, but its reduced
model size reduces inference cost considerably and greatly facilitates downstream uses on smaller
hardware. The energy cost of a large language model is amortized through its usage for inference an
ﬁne-tuning. The beneﬁts of a more optimally trained smaller model, therefore, extend beyond the
immediate beneﬁts of its improved performance.

4× more more data. Chinchilla uniformly and signiﬁcantly outperforms Gopher (280B), GPT-3 (175B),
Jurassic-1 (178B), and Megatron-Turing NLG (530B) on a large range of downstream evaluation tasks.
This also means that Chinchilla uses substantially less compute for ﬁne-tuning and inference, greatly
facilitating downstream usage. As a highlight, Chinchilla reaches a state-of-the-art average accuracy of
67.5% on the MMLU benchmark, greater than a 7% improvement over Gopher.
1. Introduction

We analysed Chinchilla on the same set of BIG-bench tasks (BIG-bench collaboration, 2021) reported
in Rae et al. (2021). Similar to what we observed in MMLU, Chinchilla outperforms Gopher on the
vast majority of tasks (see Figure 7). We ﬁnd that Chinchilla improves the average performance
by 10.7%, reaching an accuracy of 65.1% versus 54.4% for Gopher. Of the 62 tasks we consider,
Chinchilla performs worse than Gopher on only four—crash_blossom, dark_humor_detection,
11

has achieved greater than 90% accuracy on a subset.
In Figure 6, we show a comparison to Gopher broken down by task. Overall, we ﬁnd that Chin-
chilla improves performance on the vast majority of tasks. On four tasks (college_mathematics,
econometrics, moral_scenarios, and formal_logic) Chinchilla underperforms Gopher, and
there is no change in performance on two tasks.
4.2.3. Reading comprehension
On the ﬁnal word prediction dataset LAMBADA (Paperno et al., 2016), Chinchilla achieves 77.4%

Chinchilla outperforms Gopher.
Chinchilla signiﬁcantly outperforms Gopher on all evaluation subsets of The Pile (Gao et al.,
2020), as shown in Figure 5. Compared to Jurassic-1 (178B) Lieber et al. (2021), Chinchilla is more
performant on all but two subsets– dm_mathematics and ubuntu_irc– see Table A5 for a raw
bits-per-byte comparison. On Wikitext103 (Merity et al., 2017), Chinchilla achieves a perplexity of
7.16 compared to 7.75 for Gopher. Some caution is needed when comparing Chinchilla with Gopher","Answer: Chinchilla is more efficient in terms of computing power because it has significantly lower requirements for both fine-tuning and inference due to its smaller model size compared to models like Gopher, resulting in substantial savings on hardware costs while maintaining superior performance.","Chinchilla is more efficient in terms of computing power because it has significantly lower requirements for both fine-tuning and inference due to its smaller model size compared to models like Gopher, resulting in substantial savings on hardware costs while maintaining superior performance.",0.6,0.95,True,1.2,0.0,768
multi-qa-distilbert-cos-v1,embeddings,512,100,5,mistralai/Mistral-7B-Instruct-v0.3,marketing,33,What assumptions must be met in order for the reparameterization of reward functions to be applied within the context of Plackett-Luce and Bradley-Terry models?,"Theorem 1. Under mild assumptions, all reward classes consistent with the Plackett-Luce
(and Bradley-Terry in particular) models can be represented with the reparameterization
r(x, y) = β log
π(y|x)
πref(y|x) for some model π(y | x) and a given reference model πref(y | x).
Proof Sketch. Consider any reward function r(x, y), which induces a corresponding optimal model
πr(y | x), specified by Eq. 4. We will show that a reward function from the equivalence class of r

Notice that when K = 2, Equation 18 reduces to the Bradley-Terry model. However, for the general
Plackett-Luce model, we can still utilize the results of Eq. 5 and substitute the reward function
parameterized by its optimal policy. Similarly to Appendix A.2, the normalization constant Z(x)
cancels out and we’re left with:
p∗(τ|y1, . . . , yK, x) =
K
Y
k=1
exp

β log
π∗(yτ(k)|x)
πref(yτ(k)|x)

PK
j=k exp

β log
π∗(yτ(j)|x)
πref(yτ(j)|x)

(19)
16

the reward model, we can formulate a maximum likelihood objective for a parametrized policy πθ.
Analogous to the reward modeling approach (i.e. Eq. 2), our policy objective becomes:
LDPO(πθ; πref) = −E(x,yw,yl)∼D

log σ

β log πθ(yw | x)
πref(yw | x) −β log πθ(yl | x)
πref(yl | x)

.
(7)
This way, we fit an implicit reward using an alternative parameterization, whose optimal policy is
simply πθ. Moreover, since our procedure is equivalent to fitting a reparametrized Bradley-Terry
4

we usually have to impose additional identifiability constraints to achieve any guarantees on the MLE
estimates from Eq. 2 [4]. The second lemma states that all reward functions from the same class
yield the same optimal policy, hence for our final objective, we are only interested in recovering an
arbitrary reward function from the optimal class. We prove the following Theorem in Appendix A.6:
Theorem 1. Under mild assumptions, all reward classes consistent with the Plackett-Luce

reward function in the equivalence class of r(x, y). Finally, replacing r with the RHS of Eq. 5 (which
holds for any reward function), we have f(r; πref, β)(x, y) = β log πr(y|x)
πref(y|x). That is, the projection
f produces a member of the equivalence class of r with the desired form, and we do not lose any
generality in our reward model from the proposed reparameterization.
We can alternatively view Theorem 1 as specifying exactly which reward function within each","Answer: To apply the reparameterization of reward functions within the context of Plackett-Luce and Bradley-Terry models, certain mild assumptions need to hold true. These assumptions ensure the consistency of the reward classes with these specific models. For detailed insights, please refer to the provided context for a comprehensive understanding.","To apply the reparameterization of reward functions within the context of Plackett-Luce and Bradley-Terry models, certain mild assumptions need to hold true. These assumptions ensure the consistency of the reward classes with these specific models. For detailed insights, please refer to the provided context for a comprehensive understanding.",0.6,0.95,True,1.2,0.0,768
multi-qa-distilbert-cos-v1,embeddings,512,100,5,mistralai/Mistral-7B-Instruct-v0.3,marketing,53,What are the implications of adding updates on the pretraining data during the fine-tuning phase of model development based on the observed performance of the models?,"Our proposal for mitigating the alignment tax, by incorporating pretraining data into RLHF ﬁne-
tuning, does not completely mitigate performance regressions, and may make certain undesirable
behaviors more likely for some tasks (if these behaviors are present in the pretraining data). This is
an interesting area for further research. Another modiﬁcation that would likely improve our method
is to ﬁlter the pretraining mix data for toxic content (Ngo et al., 2021), or augment this data with

Many methods could be tried to further decrease the models’ propensity to generate toxic, biased,
or otherwise harmful outputs. For example, one could use an adversarial set-up where labelers ﬁnd
the worst-case behaviors of the model, which are then labeled and added to the dataset (Dinan et al.,
2019b). One could also combine our method with ways of ﬁltering the pretraining data (Ngo et al.,
2021), either for training the initial pretrained models, or for the data we use for our pretraining

Pre-training Data Issues#
The volume of the pre-training data corpus is enormous, as it is supposed to represent world knowledge in all available written forms. Data crawled from the public Internet is the most common choice and thus out-of-date, missing, or incorrect information is expected. As the model may incorrectly memorize this information by simply maximizing the log-likelihood, we would expect the model to make mistakes.
Fine-tuning New Knowledge#

ity of its training data, and it can be further improved by fine-tuning with
domain-specific knowledge. Fine-tuning involves retraining the model with
specialized datasets, allowing it to internalize specific organizational knowl-
edge for more precise and relevant responses. This process keeps the model
updated and tailored to the user’s needs while maintaining privacy.
5
Preliminary Evaluation of the Guide
5.1
Feedback Process Overview

Train and dev performance over time when fine-tuning on half `Known` and half `Unknown` examples. `Unknown` examples are learned much slower, and the best dev result is achieved when the model learns the majority of `Known` cases but only a few `Unknown` ones. (Image source: Gekhman et al. 2024)","ANSWER: Adding updates to the pretraining data during the fine-tuning phase of model development has the potential to impact the overall performance of the models positively. By filtering out toxic or irrelevant content and updating the pretraining data with specialized domain knowledge, we can enhance the accuracy and relevance of the model's responses. However, it's crucial to monitor the progress closely to ensure that improvements are being made consistently without introducing unwanted behavior or bias.","Adding updates to the pretraining data during the fine-tuning phase of model development has the potential to impact the overall performance of the models positively. By filtering out toxic or irrelevant content and updating the pretraining data with specialized domain knowledge, we can enhance the accuracy and relevance of the model's responses. However, it's crucial to monitor the progress closely to ensure that improvements are being made consistently without introducing unwanted behavior or bias.",0.6,0.95,True,1.2,0.0,768
multi-qa-distilbert-cos-v1,embeddings,512,100,5,mistralai/Mistral-7B-Instruct-v0.3,marketing,63,What are the advantages of applying LoRA to transformer models in terms of computational efficiency during training and deployment?,"and the storage/switching cost for hosting independent instances for different tasks. We propose
LoRA, an efﬁcient adaptation strategy that neither introduces inference latency nor reduces input
sequence length while retaining high model quality. Importantly, it allows for quick task-switching
when deployed as a service by sharing the vast majority of the model parameters. While we focused
on Transformer language models, the proposed principles are generally applicable to any neural

LoRA possesses several key advantages.
• A pre-trained model can be shared and used to build many small LoRA modules for dif-
ferent tasks. We can freeze the shared model and efﬁciently switch tasks by replacing the
matrices A and B in Figure 1, reducing the storage requirement and task-switching over-
head signiﬁcantly.
• LoRA makes training more efﬁcient and lowers the hardware barrier to entry by up to 3
times when using adaptive optimizers since we do not need to calculate the gradients or

trained model weights and injects trainable rank decomposition matrices into each
layer of the Transformer architecture, greatly reducing the number of trainable pa-
rameters for downstream tasks. Compared to GPT-3 175B ﬁne-tuned with Adam,
LoRA can reduce the number of trainable parameters by 10,000 times and the
GPU memory requirement by 3 times. LoRA performs on-par or better than ﬁne-
tuning in model quality on RoBERTa, DeBERTa, GPT-2, and GPT-3, despite hav-

on Transformer language models, the proposed principles are generally applicable to any neural
networks with dense layers.
There are many directions for future works. 1) LoRA can be combined with other efﬁcient adapta-
tion methods, potentially providing orthogonal improvement. 2) The mechanism behind ﬁne-tuning
or LoRA is far from clear – how are features learned during pre-training transformed to do well
on downstream tasks? We believe that LoRA makes it more tractable to answer this than full ﬁne-
12

guarantees that we do not introduce any additional latency during inference compared to a ﬁne-tuned
model by construction.
4.2
APPLYING LORA TO TRANSFORMER
In principle, we can apply LoRA to any subset of weight matrices in a neural network to reduce the
number of trainable parameters. In the Transformer architecture, there are four weight matrices in
the self-attention module (Wq, Wk, Wv, Wo) and two in the MLP module. We treat Wq (or Wk, Wv)","ANSWER: By applying our innovative approach called LoRA to Transformer models, businesses can enjoy significant reductions in both training time and hardware requirements. This efficient adaptation strategy requires minimal extra latency during inference, shares most model parameters for fast task-switching, and dramatically decreases the number of trainable parameters and GPU memory needs—all while maintaining top-notch performance on various language tasks like those powered by RoBERTa, DeBERTa, GPT-2, and G","By applying our innovative approach called LoRA to Transformer models, businesses can enjoy significant reductions in both training time and hardware requirements. This efficient adaptation strategy requires minimal extra latency during inference, shares most model parameters for fast task-switching, and dramatically decreases the number of trainable parameters and GPU memory needs—all while maintaining top-notch performance on various language tasks like those powered by RoBERTa, DeBERTa, GPT-2, and G",0.6,0.95,True,1.2,0.0,768
multi-qa-distilbert-cos-v1,embeddings,512,100,5,mistralai/Mistral-7B-Instruct-v0.3,marketing,76,"What are the key differences between HALO and non-HALO loss functions, and what impact do these differences have on language model alignment?","sally superior, there is no one loss function either—the best
HALO depends on the inductive biases that are most ap-
propriate for a given setting, and much work remains to be
done in identifying the best HALO for each context.
Acknowledgements
We thank Percy Liang, Dilip Arumugam, Arya McCarthy,
and Nathan Lambert for feedback. We thank Stas Bekman
and Gautam Mittal for cluster assistance and Alex Manthey
for helping with human evaluation.
Impact Statement

Model Alignment as Prospect Theoretic Optimization
Figure 2. HALOs (DPO, offline PPO variant) outperform non-HALOs (SLiC, CSFT), as measured by the GPT-4-0613-judged winrate
of the aligned model’s generations against a hard-to-beat baseline: the outputs that would have been used as the targets for SFT. The y-axis
here plots the winrate above chance (i.e., the winrate – 50%). The difference between methods is only significant (p < 0.05) at 13B+

Model Alignment as Prospect Theoretic Optimization
Although it is impossible to say that HALOs are categori-
cally better than non-HALOs, we find that among existing
methods, those that meet the definition of a HALO work
better than those that do not (§3.3). We find that DPO per-
formance can even be matched at most scales by running an
offline PPO variant on dummy +1/-1 rewards, suggesting
that preference data might not be needed if the inductive
bias in the loss function is good enough. However, despite

theory we dicuss here (Tversky & Kahneman, 1992).
is used to get the relative gain or loss; concavity in relative
gains (i.e., diminishing sensitivity away from z0); and loss
aversion (i.e., greater sensitivity to losses).
3.2. HALOs
Definition 3.4 (HALOs). Let θ denote the trainable param-
eters of the model πθ : X →P(Y) being aligned, πref the
reference model, l : Y →R+ a normalizing factor, and
rθ(x, y) = l(y) log[πθ(y|x)/πref(y|x)] the implied reward.

parameters, and only the HALO-aligned Llama-{13B, 30B} models are able to match the baseline and yield a winrate at or above chance.
Theorem 3.5. DPO and PPO-Clip are human-aware losses.
The proof is deferred to Appendix B. In Figure 1, we can
see this more intuitively by plotting the value function (i.e.,
the implied human utility).
3.3. Does being a HALO matter?
It is difficult to answer whether being a HALO is useful,
since both HALOs and non-HALOs are diverse function","ANSWER: HALO loss functions differ from non-HALO ones by incorporating prospect theory, which mimics how humans make decisions under risk and uncertainty. This approach results in improved performance when aligning language models, allowing them to perform closer to human evaluations compared to other methods. Specifically, HALOs consider factors like relative gains, concavity in relative gains, and loss aversion during optimization. While both types of loss functions offer valuable contributions to the field, HALOs seem particularly effective based on","HALO loss functions differ from non-HALO ones by incorporating prospect theory, which mimics how humans make decisions under risk and uncertainty. This approach results in improved performance when aligning language models, allowing them to perform closer to human evaluations compared to other methods. Specifically, HALOs consider factors like relative gains, concavity in relative gains, and loss aversion during optimization. While both types of loss functions offer valuable contributions to the field, HALOs seem particularly effective based on",0.6,0.95,True,1.2,0.0,768
