question_num,length_score,rouge_l_score,bleu_score,bert_score_precision,bert_score_recall,bert_score_f1,jaccard_score,cosine_similarity,cosine_similarity_spacy,spacy_score,ragas_score_faithfulness,ragas_score_answer_relevancy,ragas_score_context_precision,ragas_score_context_recall,audience_type,experiment_name,chunksize,chunkoverlap,embedding_model,config_name,num_retrieve,llm_name,llm_temp,llm_top_p,llm_do_sample,llm_repetition_penalty,inference_time,max_new_tokens
0,0.7230769230769231,0.3275862068965517,0.1659299688127225,0.7059458,0.7370641,0.7211695,0.18604651162790697,0.93016326,0.9720172882080078,0.4,1.0,0.8911983467552266,0.8666666666377778,1.0,marketing,llm_params,512,100,multi-qa-mpnet-base-dot-v1,greedy_baseline,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777,200
7,0.7,0.6666666666666667,0.4710012314144844,0.7581556,0.8463107,0.7998114,0.5,0.9413925,0.9330576062202454,1.0,0.5,0.9398413405169762,0.9166666666361111,1.0,marketing,llm_params,512,100,multi-qa-mpnet-base-dot-v1,greedy_baseline,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777,200
11,0.2564102564102564,0.0,0.0,0.5238125,0.63359594,0.57349753,0.0,0.33186254,0.7751615643501282,0.0,0.4,0.8125289561244728,0.5333333333155555,1.0,marketing,llm_params,512,100,multi-qa-mpnet-base-dot-v1,greedy_baseline,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777,200
19,0.6949152542372882,0.19642857142857145,0.0,0.58128405,0.6242329,0.60199344,0.08823529411764706,0.5664314,0.9241702556610107,0.0,0.0,0.9754643418175435,0.6388888888675925,0.0,marketing,llm_params,512,100,multi-qa-mpnet-base-dot-v1,greedy_baseline,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777,200
27,0.6666666666666666,0.31034482758620696,0.08519620064976903,0.7277084,0.78595483,0.7557109,0.14285714285714285,0.86495876,0.9364463090896606,0.0,0.5,0.9612935752329651,0.8874999999778125,1.0,marketing,llm_params,512,100,multi-qa-mpnet-base-dot-v1,greedy_baseline,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777,200
28,0.7083333333333334,0.4235294117647058,0.2575767192266146,0.67404675,0.72348046,0.6978893,0.2413793103448276,0.9091979,0.969646692276001,0.4,0.8,0.9862418759307103,0.99999999998,1.0,marketing,llm_params,512,100,multi-qa-mpnet-base-dot-v1,greedy_baseline,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777,200
33,0.8260869565217391,0.48888888888888893,0.17029078484626484,0.80176866,0.6720689,0.73121184,0.35294117647058826,0.9399979,0.9637835025787354,1.0,0.6666666666666666,0.9760353732951572,0.99999999998,1.0,marketing,llm_params,512,100,multi-qa-mpnet-base-dot-v1,greedy_baseline,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777,200
53,0.5806451612903226,0.21568627450980393,0.0,0.65125793,0.70443356,0.67680293,0.15384615384615385,0.7039354,0.9553059339523315,0.0,1.0,0.8333448054340312,0.99999999998,1.0,marketing,llm_params,512,100,multi-qa-mpnet-base-dot-v1,greedy_baseline,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777,200
63,0.4470588235294118,0.4444444444444445,0.1357151061152148,0.6454011,0.7771799,0.70518696,0.27906976744186046,0.9026495,0.9796378016471863,0.0,0.6666666666666666,0.9676786120294949,0.99999999998,1.0,marketing,llm_params,512,100,multi-qa-mpnet-base-dot-v1,greedy_baseline,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777,200
76,0.47560975609756095,0.22222222222222227,0.0,0.6236832,0.7174789,0.6673012,0.14285714285714285,0.7790537,0.949410080909729,0.0,0.16666666666666666,0.906598851859038,0.6791666666496875,1.0,marketing,llm_params,512,100,multi-qa-mpnet-base-dot-v1,greedy_baseline,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777,200
87,0.25,0.4,0.21806393357781367,0.602045,0.88120395,0.71535456,0.32142857142857145,0.9231957,0.9453986287117004,0.5,1.0,1.0,0.249999999975,1.0,marketing,llm_params,512,100,multi-qa-mpnet-base-dot-v1,greedy_baseline,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777,200
92,0.6216216216216216,0.3464566929133859,0.0,0.71151185,0.6805721,0.6956982,0.0851063829787234,0.6246885,0.9649837613105774,0.0,0.7142857142857143,0.850937006329356,0.5961904761785524,0.7777777777777778,marketing,llm_params,512,100,multi-qa-mpnet-base-dot-v1,greedy_baseline,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777,200
95,0.9361702127659575,0.2765957446808511,0.21217947051943883,0.6978306,0.6776042,0.68756866,0.1794871794871795,0.6205214,0.9641567468643188,0.0,1.0,0.958736335137032,0.8874999999778125,1.0,marketing,llm_params,512,100,multi-qa-mpnet-base-dot-v1,greedy_baseline,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777,200
103,0.5531914893617021,0.5205479452054794,0.13011054601051442,0.7535143,0.86207724,0.8041482,0.4,0.9299066,0.9706049561500549,0.0,1.0,0.9811418522539689,0.999999999975,1.0,marketing,llm_params,512,100,multi-qa-mpnet-base-dot-v1,greedy_baseline,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777,200
110,0.8392857142857143,0.27184466019417475,0.0,0.7018538,0.6534132,0.67676777,0.15789473684210525,0.8659917,0.9496880769729614,0.0,0.5,0.9783195694538566,0.7961904761745524,1.0,marketing,llm_params,512,100,multi-qa-mpnet-base-dot-v1,greedy_baseline,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777,200
