question_num,length_score,rouge_l_score,bleu_score,bert_score_precision,bert_score_recall,bert_score_f1,jaccard_score,cosine_similarity,cosine_similarity_spacy,spacy_score,ragas_score_faithfulness,ragas_score_answer_relevancy,ragas_score_context_precision,ragas_score_context_recall,mds,audience_type,experiment_name,chunksize,chunkoverlap,embedding_model,config_name,num_retrieve,llm_name,llm_temp,llm_top_p,llm_do_sample,llm_repetition_penalty,inference_time
0,0.618421052631579,0.17322834645669288,0.0,0.61487675,0.6413402,0.6278297,0.11538461538461539,0.6277712,0.9541616439819336,0.0,0.0,0.9248332893489954,0.0,1.0,1.9999999997325935e-10,marketing,retriever_mds,128,0,multi-qa-mpnet-base-dot-v1,v_small_context,3,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
7,0.2413793103448276,0.25316455696202533,0.05785509594341803,0.55857265,0.7337463,0.63428706,0.17391304347826086,0.7292514,0.888841450214386,0.0,0.6666666666666666,0.0,0.0,1.0,1.9999999996923427e-10,marketing,retriever_mds,128,0,multi-qa-mpnet-base-dot-v1,v_small_context,3,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
11,0.16393442622950818,0.11267605633802817,0.0,0.48845223,0.64126325,0.55452275,0.03225806451612903,0.31761047,0.7821673154830933,0.0,0.2,0.9375362704590091,0.0,1.0,3.9999999968520087e-10,marketing,retriever_mds,128,0,multi-qa-mpnet-base-dot-v1,v_small_context,3,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
19,0.6612903225806451,0.1272727272727273,0.0,0.5072781,0.5794183,0.5409537,0.10526315789473684,0.6042516,0.9185032844543457,0.0,0.3333333333333333,0.9592685642320689,0.0,0.0,3.999999997643581e-10,marketing,retriever_mds,128,0,multi-qa-mpnet-base-dot-v1,v_small_context,3,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
27,0.38596491228070173,0.14457831325301204,0.0,0.55411464,0.6719544,0.6073716,0.029411764705882353,0.44880527,0.8802977204322815,0.0,0.2,0.8897746482005809,0.0,0.0,3.9999999968918726e-10,marketing,retriever_mds,128,0,multi-qa-mpnet-base-dot-v1,v_small_context,3,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
28,0.8095238095238095,0.17948717948717952,0.0,0.68491846,0.69079727,0.6878453,0.058823529411764705,0.8047184,0.9608473777770996,0.4,0.6,0.8724777581045317,0.3333333333,1.0,0.5504605061146302,marketing,retriever_mds,128,0,multi-qa-mpnet-base-dot-v1,v_small_context,3,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
33,0.8214285714285714,0.35185185185185186,0.13423083199938562,0.67189896,0.6486484,0.660069,0.2413793103448276,0.92975384,0.9491803646087646,0.0,0.5,0.0,0.0,1.0,1.9999999996485008e-10,marketing,retriever_mds,128,0,multi-qa-mpnet-base-dot-v1,v_small_context,3,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
53,0.5,0.1769911504424779,0.0,0.5967854,0.65153766,0.6229608,0.06521739130434782,0.7007706,0.9575262069702148,0.0,0.3333333333333333,0.8499375524636072,0.0,1.0,3.9999999976872817e-10,marketing,retriever_mds,128,0,multi-qa-mpnet-base-dot-v1,v_small_context,3,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
63,0.6785714285714286,0.2061855670103093,0.0,0.6346477,0.702425,0.66681856,0.21052631578947367,0.8914504,0.9666165709495544,0.0,0.25,0.9353061203730157,0.49999999995,1.0,0.46680835004870647,marketing,retriever_mds,128,0,multi-qa-mpnet-base-dot-v1,v_small_context,3,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
76,0.7647058823529411,0.2173913043478261,0.0,0.61464095,0.64642537,0.6301326,0.08333333333333333,0.7000692,0.9462202787399292,0.0,0.25,0.8774751020436248,0.0,1.0,3.99999999730936e-10,marketing,retriever_mds,128,0,multi-qa-mpnet-base-dot-v1,v_small_context,3,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
87,0.3695652173913043,0.15873015873015875,0.0,0.6044117,0.72778594,0.660386,0.12,0.7912133,0.9462659358978271,0.0,0.0,0.9474915827121201,0.0,1.0,1.9999999997430312e-10,marketing,retriever_mds,128,0,multi-qa-mpnet-base-dot-v1,v_small_context,3,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
92,0.5945945945945946,0.3225806451612903,0.12607984981055434,0.7264894,0.6497574,0.6859843,0.13953488372093023,0.59200656,0.9716724753379822,0.0,0.8333333333333334,0.9944395838992292,0.0,0.5,3.9999999985346595e-10,marketing,retriever_mds,128,0,multi-qa-mpnet-base-dot-v1,v_small_context,3,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
95,0.6025641025641025,0.2047244094488189,0.07662035490986613,0.6348501,0.6661626,0.6501295,0.1320754716981132,0.7254077,0.9700389504432678,0.0,0.7142857142857143,0.9503548799679598,0.0,0.0,3.999999998403843e-10,marketing,retriever_mds,128,0,multi-qa-mpnet-base-dot-v1,v_small_context,3,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
103,0.3466666666666667,0.2376237623762376,0.0770902470457925,0.55200255,0.7120616,0.6218986,0.1836734693877551,0.78179586,0.9604385495185852,0.0,0.3333333333333333,0.931814246834449,0.0,1.0,3.9999999977275385e-10,marketing,retriever_mds,128,0,multi-qa-mpnet-base-dot-v1,v_small_context,3,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
110,0.8615384615384616,0.24590163934426232,0.1520439412959453,0.6467284,0.6477449,0.6472362,0.18181818181818182,0.8204553,0.9536810517311096,0.0,0.4,0.9645477957721924,0.8333333332916666,0.5,0.636761562136188,marketing,retriever_mds,128,0,multi-qa-mpnet-base-dot-v1,v_small_context,3,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
0,0.9791666666666666,0.22448979591836735,0.07701746259069368,0.71267766,0.6992829,0.7059167,0.1794871794871795,0.9248155,0.9650954008102417,0.0,0.4,0.9217841115339779,0.8333333332916666,0.0,0.6450103950896917,marketing,retriever_mds,256,50,multi-qa-mpnet-base-dot-v1,small_context,3,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
7,0.2153846153846154,0.16470588235294117,0.0,0.56051224,0.7326194,0.6351127,0.0967741935483871,0.67219484,0.8745310306549072,0.0,0.6,0.8300041970773644,0.0,0.0,3.999999998221599e-10,marketing,retriever_mds,256,50,multi-qa-mpnet-base-dot-v1,small_context,3,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
11,0.30303030303030304,0.04545454545454545,0.0,0.5606994,0.6372089,0.5965108,0.0,0.3104249,0.8073322176933289,0.0,0.6666666666666666,0.9650858672356097,0.0,1.0,3.999999998314963e-10,marketing,retriever_mds,256,50,multi-qa-mpnet-base-dot-v1,small_context,3,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
19,0.9318181818181818,0.15555555555555559,0.06449817351457392,0.6386883,0.63467085,0.6366732,0.0625,0.6525959,0.934574544429779,0.0,0.0,0.9684511854865754,0.49999999995,1.0,3.999999998158703e-10,marketing,retriever_mds,256,50,multi-qa-mpnet-base-dot-v1,small_context,3,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
27,0.5116279069767442,0.2898550724637681,0.1801073464920771,0.6488111,0.7609454,0.7004186,0.25,0.71125776,0.9035454392433167,0.0,0.25,0.984280267977093,0.5833333333041666,0.0,0.4903178054380238,marketing,retriever_mds,256,50,multi-qa-mpnet-base-dot-v1,small_context,3,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
28,0.5862068965517241,0.19148936170212763,0.0,0.6323692,0.69604796,0.66268235,0.0975609756097561,0.82897675,0.958137571811676,0.0,0.8333333333333334,0.8757619979692789,0.9999999999666667,1.0,0.8245924123239045,marketing,retriever_mds,256,50,multi-qa-mpnet-base-dot-v1,small_context,3,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
33,0.9019607843137255,0.4230769230769231,0.16490641678072065,0.67029697,0.6278473,0.648378,0.2222222222222222,0.8425394,0.9484699368476868,0.0,1.0,0.9580279990227138,0.9999999999,1.0,0.8721967967476085,marketing,retriever_mds,256,50,multi-qa-mpnet-base-dot-v1,small_context,3,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
53,0.5538461538461539,0.16822429906542052,0.0,0.6072622,0.66466975,0.6346705,0.07142857142857142,0.72038364,0.9559305310249329,0.0,0.8,0.86628452923052,0.5833333333041666,1.0,0.7024615767873603,marketing,retriever_mds,256,50,multi-qa-mpnet-base-dot-v1,small_context,3,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
63,0.59375,0.21153846153846154,0.0,0.6618727,0.73045707,0.6944757,0.13953488372093023,0.9384512,0.9689252376556396,0.0,0.8333333333333334,0.9550081880655193,0.5833333333041666,1.0,0.7405580200874552,marketing,retriever_mds,256,50,multi-qa-mpnet-base-dot-v1,small_context,3,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
76,0.975,0.22222222222222224,0.0,0.6748072,0.683038,0.6788977,0.18181818181818182,0.82571596,0.9578533172607422,0.0,0.2,0.8865599522511606,0.3333333333,1.0,0.37732534041426563,marketing,retriever_mds,256,50,multi-qa-mpnet-base-dot-v1,small_context,3,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
87,0.4358974358974359,0.32142857142857145,0.10528947190078367,0.6527462,0.7772975,0.7095979,0.3181818181818182,0.72201425,0.9602230787277222,0.0,0.14285714285714285,0.95479432683003,0.0,0.0,3.999999996217362e-10,marketing,retriever_mds,256,50,multi-qa-mpnet-base-dot-v1,small_context,3,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
92,0.7432432432432432,0.2962962962962963,0.13570659984682706,0.6946715,0.6450961,0.66896653,0.14583333333333334,0.574857,0.9624155163764954,0.0,0.8,0.9794423764592936,0.9999999999,0.5,0.8393077647085838,marketing,retriever_mds,256,50,multi-qa-mpnet-base-dot-v1,small_context,3,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
95,0.8703703703703703,0.13333333333333333,0.0,0.5897984,0.62775624,0.6081857,0.15555555555555556,0.64892113,0.9525843262672424,0.0,0.4,0.8728409148164852,0.9999999999,0.0,0.6359382567856465,marketing,retriever_mds,256,50,multi-qa-mpnet-base-dot-v1,small_context,3,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
103,0.4482758620689655,0.380952380952381,0.0,0.6713852,0.79523957,0.7280828,0.3,0.81469285,0.9634289741516113,0.0,0.8,0.980471981870793,0.9999999999,1.0,0.8614401246693286,marketing,retriever_mds,256,50,multi-qa-mpnet-base-dot-v1,small_context,3,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
110,0.8928571428571429,0.2830188679245283,0.08320611714912826,0.7116771,0.67901313,0.6949615,0.2564102564102564,0.9002851,0.9586986899375916,0.0,0.6,0.9936239666063643,0.99999999995,1.0,0.7824707432382885,marketing,retriever_mds,256,50,multi-qa-mpnet-base-dot-v1,small_context,3,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
0,0.6527777777777778,0.24,0.0,0.64235336,0.6956134,0.66792333,0.12244897959183673,0.8245345,0.9643997550010681,0.0,1.0,0.8901479048374246,0.9999999999666667,1.0,0.865690939789266,marketing,retriever_mds,512,100,multi-qa-mpnet-base-dot-v1,high_overlap,3,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
7,0.30434782608695654,0.27272727272727276,0.0859023852138113,0.56896627,0.7944763,0.6630719,0.14285714285714285,0.8773173,0.8937684893608093,1.0,0.5,0.9155324301342985,0.99999999995,1.0,0.7142356287745336,marketing,retriever_mds,512,100,multi-qa-mpnet-base-dot-v1,high_overlap,3,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
11,0.2564102564102564,0.0,0.0,0.56453294,0.65378255,0.60588866,0.0,0.34628838,0.7808476686477661,0.0,0.5,0.8553557864786027,0.499999999975,1.0,0.5865470409654829,marketing,retriever_mds,512,100,multi-qa-mpnet-base-dot-v1,high_overlap,3,mistralai/Mistral-7B-Instruct-v0.3,0.6,0.95,True,1.2,0.0
