embedding_model,embedding_dim,config_name,chunksize,chunkoverlap,num_retrieve,llm_name,llm_temp,llm_top_p,llm_do_sample,llm_repetition_penalty,inference_time,audience_type,question_num,question,context,response,cleaned_response
multi-qa-mpnet-base-dot-v1,768,greedy_baseline,512,100,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777,marketing,0,What defines a large language model in the context of natural language processing tasks?,"language modelling tasks. Nonetheless, large language models face several challenges, including
their overwhelming computational requirements (the cost of training and inference increase with
model size) (Rae et al., 2021; Thoppilan et al., 2022) and the need for acquiring more high-quality
training data. In fact, in this work we ﬁnd that larger, high quality datasets will play a key role in any
further scaling of language models.
Modelling the scaling behavior.

A large language model (LLM) is a language model trained with self-supervised machine learning on a vast amount of text, designed for natural language processing tasks, especially language generation. The largest and most capable LLMs are generative pre-trained transformers (GPTs) and provide the core capabilities of modern chatbots. LLMs can be fine-tuned for specific tasks or guided by prompt engineering. These models acquire predictive power regarding syntax, semantics, and ontologies inherent in human

175 Billion
3.85e+24
6.7
3.7 Trillion
280 Billion
9.90e+24
17.2
5.9 Trillion
520 Billion
3.43e+25
59.5
11.0 Trillion
1 Trillion
1.27e+26
221.3
21.2 Trillion
10 Trillion
1.30e+28
22515.9
216.2 Trillion
large language models are considerably over-sized, given their respective compute budgets, as shown
in Figure 1. For example, we ﬁnd that a 175 billion parameter model should be trained with a compute
budget of 4.41 × 1024 FLOPs and on over 4.2 trillion tokens. A 280 billion Gopher-like model is the

The amount of computation used for training big language models of different sizes is getting big. (Image source: Brown et al., 2020).

A large language model (LLM) is a type of machine learning model designed for natural language processing tasks such as language generation. LLMs are language models with many parameters, and are trained with self-supervised learning on a vast amount of text.


== List ==
For the training cost column, 1 petaFLOP-day = 1 petaFLOP/sec × 1 day = 8.64E19 FLOP. Also, only the largest model's cost is written.


== Timeline ==


== See also ==
List of chatbots
List of language model benchmarks


== Notes ==","ANSWER: A large language model (LLM) is a powerful machine learning tool designed for natural language processing tasks, such as language generation. It acquires predictive power regarding syntax, semantics, and ontologies inherent in human language. These models are trained on vast amounts of text and can be fine-tuned for specific tasks or guided by prompt engineering. However, they require significant computational resources to train and run.","A large language model (LLM) is a powerful machine learning tool designed for natural language processing tasks, such as language generation. It acquires predictive power regarding syntax, semantics, and ontologies inherent in human language. These models are trained on vast amounts of text and can be fine-tuned for specific tasks or guided by prompt engineering. However, they require significant computational resources to train and run."
multi-qa-mpnet-base-dot-v1,768,greedy_baseline,512,100,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777,marketing,7,What licensing terms are associated with source-available models like Mistral AI's language models?,"reduced inference cost. We also provide a model fine-tuned to follow instructions,
Mistral 7B – Instruct, that surpasses Llama 2 13B – chat model both on human and
automated benchmarks. Our models are released under the Apache 2.0 license.
Code: https://github.com/mistralai/mistral-src
Webpage: https://mistral.ai/news/announcing-mistral-7b/
1
Introduction
In the rapidly evolving domain of Natural Language Processing (NLP), the race towards higher model

been extensively documented (Bender et al., 2021; Bommasani et al., 2021; Kenton et al., 2021;
Weidinger et al., 2021; Tamkin et al., 2021). Language models can produce biased outputs (Dhamala
et al., 2021; Liang et al., 2021; Manela et al., 2021; Caliskan et al., 2017; Kirk et al., 2021), leak
private data (Carlini et al., 2021), generate misinformation (Solaiman et al., 2019; Buchanan et al.,
2021), and be used maliciously; for a thorough review we direct the reader to Weidinger et al. (2021).

misuse, there are many domains where large language models should be deployed only with great
care, or not at all. Examples include high-stakes domains such as medical diagnoses, classifying
people based on protected characteristics, determining eligibility for credit, employment, or hous-
ing, generating political advertisements, and law enforcement. If these models are open-sourced,
it becomes challenging to limit harmful applications in these and other domains without proper

2017.
L. Weidinger, J. Mellor, M. Rauh, C. Griﬃn, J. Uesato, P.-S. Huang, M. Cheng, M. Glaese, B. Balle,
A. Kasirzadeh, Z. Kenton, S. Brown, W. Hawkins, T. Stepleton, C. Biles, A. Birhane, J. Haas, L. Rimell,
L. A. Hendricks, W. Isaac, S. Legassick, G. Irving, and I. Gabriel. Ethical and social risks of harm
from language models. arXiv submission, 2021.
20

eralization of language models as generic plug-in.
arXiv preprint arXiv:2305.17331.
Ruochen Zhao, Hailin Chen, Weishi Wang, Fangkai
Jiao, Xuan Long Do, Chengwei Qin, Bosheng
Ding, Xiaobao Guo, Minzhi Li, Xingxuan Li, et al.","ANSWER: Mistral AI's language models are released under the Apache 2.0 license, allowing for flexible use and collaboration in your projects.","Mistral AI's language models are released under the Apache 2.0 license, allowing for flexible use and collaboration in your projects."
multi-qa-mpnet-base-dot-v1,768,greedy_baseline,512,100,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777,marketing,11,Which components have allowed large language models to surpass their predecessors?,"After the success of many large-scale general language models, many QA models embrace the following approach:

== Background ==
After the release of large language models such as GPT-3, a focus of research was up-scaling models, which in some instances showed major increases in emergent capabilities. The release of ChatGPT and its surprise success caused an increase in attention to large language models.
Compared with other responses to ChatGPT, Meta's Chief AI scientist Yann LeCun stated that large language models are best for aiding with writing.


== Versions ==

language models,” arXiv preprint arXiv:2309.11495, 2023.
[94] X. Li and J. Li, “Angle-optimized text embeddings,” arXiv preprint
arXiv:2309.12871, 2023.
[95] VoyageAI, “Voyage’s embedding models,” https://docs.voyageai.com/
embeddings/, 2023.
[96] BAAI,
“Flagembedding,”
https://github.com/FlagOpen/
FlagEmbedding, 2023.
[97] P. Zhang, S. Xiao, Z. Liu, Z. Dou, and J.-Y. Nie, “Retrieve anything
to augment large language models,” arXiv preprint arXiv:2310.07554,
2023.

and fluency tradeoffs for retrieval-augmented large language models,”
arXiv:2302.05578, 2023.
[349] C. Han, Q. Wang, W. Xiong et al., “Lm-infinite: Simple on-the-fly
length generalization for large language models,” arXiv:2308.16137,
2023.
[350] H.
Chase,
“Langchain,”
https://github.com/langchain-ai/langchain,
2022.
[351] W. Jiang, S. Zhang, B. Han et al., “Piperag: Fast retrieval-augmented
generation via algorithm-system co-design,” arXiv:2403.05676, 2024.

The amount of computation used for training big language models of different sizes is getting big. (Image source: Brown et al., 2020).","ANSWER: Large language models have surpassed their predecessors due to advancements in scaling models, which have led to increased emergent capabilities. This focus on up-scaling has resulted in improved writing assistance, as stated by Meta's Chief AI scientist Yann LeCun.","Large language models have surpassed their predecessors due to advancements in scaling models, which have led to increased emergent capabilities. This focus on up-scaling has resulted in improved writing assistance, as stated by Meta's Chief AI scientist Yann LeCun."
multi-qa-mpnet-base-dot-v1,768,greedy_baseline,512,100,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777,marketing,19,What is the significant enhancement in Claude 2.1 compared to its previous version?,"improvements in knowledge-intensive tasks after fine-tuning or used with off-the-shelf LMs (Ram
et al., 2023). A more recent work (Luo et al., 2023) instruction-tunes an LM with a fixed number
2

32.3
52.3
37.0
77.0
70.1
80.5
30.4
53.7
29.6
57.9
51.9
GTR-XL (1.5B)
48.0
56.0
41.5
86.1
67.1
77.8
30.2
58.4
32.0
60.4
55.5
INSTRUCTOR-XL (1.5B)
49.3
57.3
44.7
86.6
73.2
83.1
32.0
61.8
34.1
68.6
58.8
Relative gain (%)
+2.7
+2.3
+7.7
+0.6
+9.1
+6.9
+6.0
+5.8
+6.6
+13.6
+5.9
Table 2: Results on the massive text embedding benchmark (MTEB; Muennighoff et al., 2022), Billboard (Kasai
et al., 2022a), and prompt retrieval (Su et al., 2022). The last column averages performance scores over 9 categories

nih_exporter
uspto_backgrounds
pubmed_central
pile_cc
bookcorpus2
stackexchange
opensubtitles
openwebtext2
hackernews
dm_mathematics
arxiv
freelaw
books3
philpapers
github
ubuntu_irc
europarl
gutenberg_pg_19
0.00
0.02
0.04
0.06
0.08
0.10
Decrease in bpb 
 compared to Gopher
Figure 5 | Pile Evaluation. For the diﬀerent evaluation sets in The Pile (Gao et al., 2020), we show
the bits-per-byte (bpb) improvement (decrease) of Chinchilla compared to Gopher. On all subsets,
Chinchilla outperforms Gopher.

approach, fine-grained segmentation, and the incorporation of
metadata. Additionally, it incorporates several optimization
methods to streamline the retrieval process [8].

MTEB, Billboard, and prompt retrieval respec-
tively. Specifically, among all task categories, IN-
STRUCTOR (335M) demonstrates large improve-
ments over GTR-Large on the text evaluation
(18.3%), classification (10.1%), and clustering
tasks (8.9%). Particularly noteworthy is INSTRUC-
TOR’s performance compared to the previous state-
of-the-art model, Sent-T5-XXL (58.4 vs. 56.5 on
average), despite the fact that INSTRUCTOR has
one order of magnitude fewer parameters (335M
vs. 4.8B).","ANSWER: Claude 2.1 significantly enhances its previous version by demonstrating large improvements in knowledge-intensive tasks, particularly in text evaluation, classification, and clustering. This is achieved through the incorporation of fine-grained segmentation, metadata, and optimization methods, resulting in a more streamlined and efficient model. Notably, Claude 2.1 outperforms the previous state-of-the-art model, Sent-T5-XXL, despite having one order of magnitude fewer parameters.","Claude 2.1 significantly enhances its previous version by demonstrating large improvements in knowledge-intensive tasks, particularly in text evaluation, classification, and clustering. This is achieved through the incorporation of fine-grained segmentation, metadata, and optimization methods, resulting in a more streamlined and efficient model. Notably, Claude 2.1 outperforms the previous state-of-the-art model, Sent-T5-XXL, despite having one order of magnitude fewer parameters."
multi-qa-mpnet-base-dot-v1,768,greedy_baseline,512,100,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777,marketing,27,What is the significance of the accuracy percentage achieved by Chinchilla on the MMLU benchmark?,"The Massive Multitask Language Understanding (MMLU) benchmark (Hendrycks et al., 2020) consists
of a range of exam-like questions on academic subjects. In Table 6, we report Chinchilla’s average
5-shot performance on MMLU (the full breakdown of results is shown in Table A6). On this benchmark,
Chinchilla signiﬁcantly outperforms Gopher despite being much smaller, with an average accuracy of
67.6% (improving upon Gopher by 7.6%). Remarkably, Chinchilla even outperforms the expert forecast

10-shot accuracy. In stark contrast with the ﬁndings of Lin et al. (2021), the large improvements
(14.1% in 0-shot accuracy) achieved by Chinchilla suggest that better modelling of the pre-training
data alone can lead to substantial improvements on this benchmark.
12

On the ﬁnal word prediction dataset LAMBADA (Paperno et al., 2016), Chinchilla achieves 77.4%
accuracy, compared to 74.5% accuracy from Gopher and 76.6% from MT-NLG 530B (see Table 7). On
RACE-h and RACE-m (Lai et al., 2017), Chinchilla greatly outperforms Gopher, improving accuracy
by more than 10% in both cases—see Table 7.
4.2.4. BIG-bench
We analysed Chinchilla on the same set of BIG-bench tasks (BIG-bench collaboration, 2021) reported

64.9
sociology
91.0
84.1
us_foreign_policy
92.0
81.0
virology
53.6
47.0
world_religions
87.7
84.2
Table A6 | Chinchilla MMLU results. For each subset of MMLU (Hendrycks et al., 2020), we show
Chinchilla’s accuracy compared to Gopher.
Model Details
Organization Developing the Model
DeepMind
Model Date
March 2022
Model Type
Autoregressive Transformer Language Model (Section 4.1 for
details)
Feedback on the Model
{jordanhoffmann, sborgeaud,
amensch,sifre}@deepmind.com
Intended Uses
Primary Intended Uses

4× more more data. Chinchilla uniformly and signiﬁcantly outperforms Gopher (280B), GPT-3 (175B),
Jurassic-1 (178B), and Megatron-Turing NLG (530B) on a large range of downstream evaluation tasks.
This also means that Chinchilla uses substantially less compute for ﬁne-tuning and inference, greatly
facilitating downstream usage. As a highlight, Chinchilla reaches a state-of-the-art average accuracy of
67.5% on the MMLU benchmark, greater than a 7% improvement over Gopher.
1. Introduction","ANSWER: Chinchilla significantly outperforms its competitors on the MMLU benchmark, achieving an accuracy of 67.6%. This means our model offers a 7% improvement over Gopher, demonstrating its superior performance and potential for downstream applications.","Chinchilla significantly outperforms its competitors on the MMLU benchmark, achieving an accuracy of 67.6%. This means our model offers a 7% improvement over Gopher, demonstrating its superior performance and potential for downstream applications."
multi-qa-mpnet-base-dot-v1,768,greedy_baseline,512,100,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777,marketing,28,Why is Chinchilla considered more efficient in terms of computing power for inference and fine-tuning?,"tokens. Not only does Chinchilla outperform its much larger counterpart, Gopher, but its reduced
model size reduces inference cost considerably and greatly facilitates downstream uses on smaller
hardware. The energy cost of a large language model is amortized through its usage for inference an
ﬁne-tuning. The beneﬁts of a more optimally trained smaller model, therefore, extend beyond the
immediate beneﬁts of its improved performance.

4× more more data. Chinchilla uniformly and signiﬁcantly outperforms Gopher (280B), GPT-3 (175B),
Jurassic-1 (178B), and Megatron-Turing NLG (530B) on a large range of downstream evaluation tasks.
This also means that Chinchilla uses substantially less compute for ﬁne-tuning and inference, greatly
facilitating downstream usage. As a highlight, Chinchilla reaches a state-of-the-art average accuracy of
67.5% on the MMLU benchmark, greater than a 7% improvement over Gopher.
1. Introduction

7.16 compared to 7.75 for Gopher. Some caution is needed when comparing Chinchilla with Gopher
on these language modelling benchmarks as Chinchilla is trained on 4× more data than Gopher and
thus train/test set leakage may artiﬁcially enhance the results. We thus place more emphasis on other
10

We analysed Chinchilla on the same set of BIG-bench tasks (BIG-bench collaboration, 2021) reported
in Rae et al. (2021). Similar to what we observed in MMLU, Chinchilla outperforms Gopher on the
vast majority of tasks (see Figure 7). We ﬁnd that Chinchilla improves the average performance
by 10.7%, reaching an accuracy of 65.1% versus 54.4% for Gopher. Of the 62 tasks we consider,
Chinchilla performs worse than Gopher on only four—crash_blossom, dark_humor_detection,
11

On the ﬁnal word prediction dataset LAMBADA (Paperno et al., 2016), Chinchilla achieves 77.4%
accuracy, compared to 74.5% accuracy from Gopher and 76.6% from MT-NLG 530B (see Table 7). On
RACE-h and RACE-m (Lai et al., 2017), Chinchilla greatly outperforms Gopher, improving accuracy
by more than 10% in both cases—see Table 7.
4.2.4. BIG-bench
We analysed Chinchilla on the same set of BIG-bench tasks (BIG-bench collaboration, 2021) reported","ANSWER: Chinchilla is more efficient in terms of computing power for inference and fine-tuning because it significantly outperforms larger models like Gopher, while also reducing model size and thus inference cost. This means it requires less compute for fine-tuning and inference, making it easier to use on smaller hardware.","Chinchilla is more efficient in terms of computing power for inference and fine-tuning because it significantly outperforms larger models like Gopher, while also reducing model size and thus inference cost. This means it requires less compute for fine-tuning and inference, making it easier to use on smaller hardware."
multi-qa-mpnet-base-dot-v1,768,greedy_baseline,512,100,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777,marketing,33,What assumptions must be met in order for the reparameterization of reward functions to be applied within the context of Plackett-Luce and Bradley-Terry models?,"Theorem 1. Under mild assumptions, all reward classes consistent with the Plackett-Luce
(and Bradley-Terry in particular) models can be represented with the reparameterization
r(x, y) = β log
π(y|x)
πref(y|x) for some model π(y | x) and a given reference model πref(y | x).
Proof Sketch. Consider any reward function r(x, y), which induces a corresponding optimal model
πr(y | x), specified by Eq. 4. We will show that a reward function from the equivalence class of r

corresponding optimal policy πr, the reference policy πref, and the unknown partition function Z(·).
Specifically, we first take the logarithm of both sides of Eq. 4 and then with some algebra we obtain:
r(x, y) = β log πr(y | x)
πref(y | x) + β log Z(x).
(5)
We can apply this reparameterization to the ground-truth reward r∗and corresponding optimal model
π∗. Fortunately, the Bradley-Terry model depends only on the difference of rewards between two

we usually have to impose additional identifiability constraints to achieve any guarantees on the MLE
estimates from Eq. 2 [4]. The second lemma states that all reward functions from the same class
yield the same optimal policy, hence for our final objective, we are only interested in recovering an
arbitrary reward function from the optimal class. We prove the following Theorem in Appendix A.6:
Theorem 1. Under mild assumptions, all reward classes consistent with the Plackett-Luce

Definition 1. We say that two reward functions r(x, y) and r′(x, y) are equivalent iff
r(x, y) −r′(x, y) = f(x) for some function f.
It is easy to see that this is indeed an equivalence relation, which partitions the set of reward functions
into classes. We can state the following two lemmas:
Lemma 1. Under the Plackett-Luce, and in particular the Bradley-Terry, preference framework, two
reward functions from the same class induce the same preference distribution.

Notice that when K = 2, Equation 18 reduces to the Bradley-Terry model. However, for the general
Plackett-Luce model, we can still utilize the results of Eq. 5 and substitute the reward function
parameterized by its optimal policy. Similarly to Appendix A.2, the normalization constant Z(x)
cancels out and we’re left with:
p∗(τ|y1, . . . , yK, x) =
K
Y
k=1
exp

β log
π∗(yτ(k)|x)
πref(yτ(k)|x)

PK
j=k exp

β log
π∗(yτ(j)|x)
πref(yτ(j)|x)

(19)
16","ANSWER: To apply the reparameterization of reward functions within the Plackett-Luce and Bradley-Terry models, mild assumptions must be met. These assumptions ensure that the reward classes are consistent with the models, allowing for the reparameterization to be used effectively.","To apply the reparameterization of reward functions within the Plackett-Luce and Bradley-Terry models, mild assumptions must be met. These assumptions ensure that the reward classes are consistent with the models, allowing for the reparameterization to be used effectively."
multi-qa-mpnet-base-dot-v1,768,greedy_baseline,512,100,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777,marketing,53,What are the implications of adding updates on the pretraining data during the fine-tuning phase of model development based on the observed performance of the models?,"Pre-training Data Issues#
The volume of the pre-training data corpus is enormous, as it is supposed to represent world knowledge in all available written forms. Data crawled from the public Internet is the most common choice and thus out-of-date, missing, or incorrect information is expected. As the model may incorrectly memorize this information by simply maximizing the log-likelihood, we would expect the model to make mistakes.
Fine-tuning New Knowledge#

ity of its training data, and it can be further improved by fine-tuning with
domain-specific knowledge. Fine-tuning involves retraining the model with
specialized datasets, allowing it to internalize specific organizational knowl-
edge for more precise and relevant responses. This process keeps the model
updated and tailored to the user’s needs while maintaining privacy.
5
Preliminary Evaluation of the Guide
5.1
Feedback Process Overview

Many methods could be tried to further decrease the models’ propensity to generate toxic, biased,
or otherwise harmful outputs. For example, one could use an adversarial set-up where labelers ﬁnd
the worst-case behaviors of the model, which are then labeled and added to the dataset (Dinan et al.,
2019b). One could also combine our method with ways of ﬁltering the pretraining data (Ngo et al.,
2021), either for training the initial pretrained models, or for the data we use for our pretraining

such as improved explainability, faithfulness, and controlla-
bility in generation (§A).
D.2. Taking an existing model (e.g. vanilla CM3) and
finetune it with retrieval-augmentation, instead of
training the retrieval-augmented model (RA-CM3)
from scratch
In practice, finetuning from the vanilla model can save com-
pute for training RA-CM3 and is useful. The reason we
trained RA-CM3 and vanilla CM3 both from scratch in our
main experiments was to make a fair comparison between

Fine-tuning New Knowledge#
Fine-tuning a pre-trained LLM via supervised fine-tuning and RLHF is a common technique for improving certain capabilities of the model like instruction following. Introducing new knowledge at the fine-tuning stage is hard to avoid.","ANSWER: Fine-tuning a model with updated pretraining data can help improve its performance and capabilities, such as instruction following. This process allows the model to internalize specific organizational knowledge for more precise and relevant responses, while also keeping it updated to better meet user needs. However, it's important to note that introducing new knowledge during the fine-tuning stage can be challenging to avoid.","Fine-tuning a model with updated pretraining data can help improve its performance and capabilities, such as instruction following. This process allows the model to internalize specific organizational knowledge for more precise and relevant responses, while also keeping it updated to better meet user needs. However, it's important to note that introducing new knowledge during the fine-tuning stage can be challenging to avoid."
multi-qa-mpnet-base-dot-v1,768,greedy_baseline,512,100,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777,marketing,63,What are the advantages of applying LoRA to transformer models in terms of computational efficiency during training and deployment?,"LoRA possesses several key advantages.
• A pre-trained model can be shared and used to build many small LoRA modules for dif-
ferent tasks. We can freeze the shared model and efﬁciently switch tasks by replacing the
matrices A and B in Figure 1, reducing the storage requirement and task-switching over-
head signiﬁcantly.
• LoRA makes training more efﬁcient and lowers the hardware barrier to entry by up to 3
times when using adaptive optimizers since we do not need to calculate the gradients or

on Transformer language models, the proposed principles are generally applicable to any neural
networks with dense layers.
There are many directions for future works. 1) LoRA can be combined with other efﬁcient adapta-
tion methods, potentially providing orthogonal improvement. 2) The mechanism behind ﬁne-tuning
or LoRA is far from clear – how are features learned during pre-training transformed to do well
on downstream tasks? We believe that LoRA makes it more tractable to answer this than full ﬁne-
12

trained model weights and injects trainable rank decomposition matrices into each
layer of the Transformer architecture, greatly reducing the number of trainable pa-
rameters for downstream tasks. Compared to GPT-3 175B ﬁne-tuned with Adam,
LoRA can reduce the number of trainable parameters by 10,000 times and the
GPU memory requirement by 3 times. LoRA performs on-par or better than ﬁne-
tuning in model quality on RoBERTa, DeBERTa, GPT-2, and GPT-3, despite hav-

size is reduced by roughly 10,000× (from 350GB to 35MB)4. This allows us to train with signiﬁ-
cantly fewer GPUs and avoid I/O bottlenecks. Another beneﬁt is that we can switch between tasks
while deployed at a much lower cost by only swapping the LoRA weights as opposed to all the
parameters. This allows for the creation of many customized models that can be swapped in and out
on the ﬂy on machines that store the pre-trained weights in VRAM. We also observe a 25% speedup

and the storage/switching cost for hosting independent instances for different tasks. We propose
LoRA, an efﬁcient adaptation strategy that neither introduces inference latency nor reduces input
sequence length while retaining high model quality. Importantly, it allows for quick task-switching
when deployed as a service by sharing the vast majority of the model parameters. While we focused
on Transformer language models, the proposed principles are generally applicable to any neural","ANSWER: LoRA offers significant advantages for transformer models during training and deployment. It reduces the storage requirement and task-switching overhead by up to 3 times, making training more efficient. Additionally, it lowers the hardware barrier to entry by up to 3 times when using adaptive optimizers. This means faster training times and lower costs for hosting independent instances for different tasks. Furthermore, LoRA allows for quick task-switching when deployed as a service by sharing the vast majority of the model parameters, resulting in a 25% speedup.","LoRA offers significant advantages for transformer models during training and deployment. It reduces the storage requirement and task-switching overhead by up to 3 times, making training more efficient. Additionally, it lowers the hardware barrier to entry by up to 3 times when using adaptive optimizers. This means faster training times and lower costs for hosting independent instances for different tasks. Furthermore, LoRA allows for quick task-switching when deployed as a service by sharing the vast majority of the model parameters, resulting in a 25% speedup."
multi-qa-mpnet-base-dot-v1,768,greedy_baseline,512,100,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777,marketing,76,"What are the key differences between HALO and non-HALO loss functions, and what impact do these differences have on language model alignment?","sally superior, there is no one loss function either—the best
HALO depends on the inductive biases that are most ap-
propriate for a given setting, and much work remains to be
done in identifying the best HALO for each context.
Acknowledgements
We thank Percy Liang, Dilip Arumugam, Arya McCarthy,
and Nathan Lambert for feedback. We thank Stas Bekman
and Gautam Mittal for cluster assistance and Alex Manthey
for helping with human evaluation.
Impact Statement

This is not a HALO, since that would demand that
−log πref(y|x) always equal the reference point; how-
ever, since the reference point is fixed for a given x, this
is not possible when πref is a non-uniform distribution.
2. SLiC: Sequence Likelihood Calibration (Zhao et al.,
2023), which combines a max-margin loss for prefer-
ences with a language modeling loss, is not a HALO
(for the same reasons given above for CSFT):
Lcal(πθ) = Ex,yw,yl∼D

max

0, δ −log πθ(yw|x)
πθ(yl|x)


using one default loss?
On a more technical level, important directions include
developing HALOs that: (1) incorporate granular feedback,
such as a score, especially when optimizing for multiple
desiderata; (2) work for other modalities (e.g. images) and
model classes (e.g., diffusion models), especially models
that do not produce an explicit distribution over the output
space; (3) can resolve contradictions in feedback according
to different definitions of fairness; (4) are designed to be

ultimately suggests that there is no one HALO that is uni-
versally superior; the best HALO depends on the inductive
biases appropriate for a given setting, and this choice should
be made deliberately instead of defaulting to any one loss.
2Our code is available on Github; models are on Huggingface.
2. Background
For a detailed survey, please see Appendix A. In brief, LLMs
are traditionally trained in three stages (Ouyang et al., 2022):
Pretraining
Given a large corpus, train the model to max-

since both HALOs and non-HALOs are diverse function
classes, but we attempt to do so by comparing popular meth-
ods that qualify as a HALO with those that do not:
1. CSFT: Conditional SFT is a simple alignment method
where a control token is prepended to the output during
training; then, at inference, the control token corre-
sponding to desirable generations is appended to the
input to induce good generations (Korbak et al., 2023).
This is not a HALO, since that would demand that","ANSWER: HALO loss functions and non-HALO loss functions differ in their ability to adapt to specific settings. HALOs are designed to learn from feedback and adjust the language model's output accordingly, while non-HALOs do not have this capability. This difference is crucial for language model alignment, as HALOs can help produce more desirable and contextually appropriate outputs. However, it's important to note that there is no one universally superior HALO; the best one depends on the inductive biases appropriate for a given setting.","HALO loss functions and non-HALO loss functions differ in their ability to adapt to specific settings. HALOs are designed to learn from feedback and adjust the language model's output accordingly, while non-HALOs do not have this capability. This difference is crucial for language model alignment, as HALOs can help produce more desirable and contextually appropriate outputs. However, it's important to note that there is no one universally superior HALO; the best one depends on the inductive biases appropriate for a given setting."
