question_num,length_score,rouge_l_score,bleu_score,bert_score_precision,bert_score_recall,bert_score_f1,jaccard_score,cosine_similarity,cosine_similarity_spacy,spacy_score,ragas_score_faithfulness,ragas_score_answer_relevancy,ragas_score_context_precision,ragas_score_context_recall,audience_type,experiment_name,chunksize,chunkoverlap
20,0.9587628865979382,0.2146341463414634,0.0,0.5921982,0.58844876,0.59031755,0.140625,0.7911681,0.9725371599197388,0.28571428571428575,1.0,0.0,0.99999999998,0.0,research,textsplitter,1000,200
3,0.33480176211453744,0.13592233009708737,0.018848863729400617,0.49179423,0.5897324,0.5363289,0.12698412698412698,0.5185465,0.8228994011878967,0.0,0.6666666666666666,0.8680621132356421,0.94999999997625,0.0,research,textsplitter,1000,200
51,0.7787610619469026,0.2200956937799043,0.057714590201823755,0.57438785,0.616298,0.5946054,0.13157894736842105,0.78281784,0.9847371578216553,0.0,0.5,0.0,0.99999999998,1.0,research,textsplitter,1000,200
46,0.8692307692307693,0.2248995983935743,0.05269528154671363,0.5946349,0.69621545,0.6414283,0.1276595744680851,0.7300216,0.9432355165481567,0.0,0.8,0.972186636608014,0.99999999998,1.0,research,textsplitter,1000,200
41,0.6698113207547169,0.1452513966480447,0.0,0.63423705,0.63565814,0.6349468,0.15873015873015872,0.62901056,0.9794943332672119,0.0,0.4,0.0,0.8874999999778125,1.0,research,textsplitter,1000,200
24,0.5777777777777777,0.1917808219178082,0.0,0.53999525,0.6028452,0.5696921,0.14,0.78502023,0.9570773243904114,0.2857142857142857,0.3333333333333333,0.0,0.9166666666361111,0.0,research,textsplitter,1000,200
19,0.6410256410256411,0.19607843137254902,0.0,0.52766323,0.61486983,0.5679384,0.06944444444444445,0.45856303,0.9501386880874634,0.0,0.5,0.0,0.8041666666465626,0.6666666666666666,research,textsplitter,1000,200
101,0.7834394904458599,0.3040540540540541,0.11039581254686606,0.64965916,0.6822515,0.6655566,0.17708333333333334,0.83115155,0.9784092307090759,0.0,1.0,0.9727141358073033,0.99999999998,0.8333333333333334,research,textsplitter,1000,200
17,0.9381443298969072,0.2631578947368421,0.0,0.5770694,0.63095176,0.6028089,0.12698412698412698,0.81068933,0.9753671288490295,0.0,0.25,0.7854997665739184,0.99999999998,0.5,research,textsplitter,1000,200
80,0.8636363636363636,0.29107981220657275,0.11588211324150993,0.6115509,0.6583687,0.63409686,0.3103448275862069,0.8534946,0.9864462614059448,0.0,0.6666666666666666,0.0,0.9999999999857143,1.0,research,textsplitter,1000,200
7,0.7802197802197802,0.3370786516853933,0.16480157436057905,0.62380004,0.66294885,0.6427789,0.13333333333333333,0.7712186,0.9549547433853149,0.0,0.8,0.9289370445859026,0.99999999998,1.0,research,textsplitter,1000,200
108,0.918918918918919,0.2790697674418604,0.1483348019731029,0.66714483,0.6917596,0.6792293,0.3188405797101449,0.88362145,0.9876343011856079,0.0,0.75,0.0,,1.0,research,textsplitter,1000,200
102,0.8515625,0.2738589211618257,0.1063087365012126,0.5990679,0.6364387,0.61718816,0.1794871794871795,0.76409984,0.9734745621681213,0.0,0.8888888888888888,0.9023295147780742,,1.0,research,textsplitter,1000,200
39,0.627906976744186,0.3004694835680751,0.1122153447008944,0.5986367,0.6426368,0.61985695,0.22807017543859648,0.868867,0.9762662649154663,0.0,0.8333333333333334,0.9694067642981403,0.99999999998,1.0,research,textsplitter,1000,200
43,0.6356589147286822,0.2119815668202765,0.06450015977840487,0.58836496,0.62152976,0.60449284,0.09230769230769231,0.63303,0.9728044867515564,0.0,0.7692307692307693,0.9621243074912136,0.99999999998,1.0,research,textsplitter,1000,200
47,0.5886075949367089,0.13284132841328414,0.0,0.5365288,0.61731976,0.5740958,0.10227272727272728,0.6374686,0.9362065196037292,0.0,0.8333333333333334,0.8748896465332415,0.6388888888675925,0.6,research,textsplitter,1000,200
54,0.9900990099009901,0.2463054187192118,0.0,0.6240029,0.6332139,0.62857467,0.1,0.6250552,0.9716190099716187,0.0,1.0,0.0,,0.25,research,textsplitter,1000,200
1,0.8282828282828283,0.27225130890052357,0.1441130010008744,0.64535296,0.6298069,0.63748515,0.23076923076923078,0.76749134,0.9692786931991577,0.0,0.5714285714285714,1.0000000000000004,0.817857142843512,1.0,research,textsplitter,1000,200
107,0.7052631578947368,0.23952095808383236,0.06155180129148554,0.63297343,0.6602963,0.6463463,0.14925373134328357,0.880877,0.982642412185669,0.0,0.4,0.9066497335437197,,1.0,research,textsplitter,1000,200
18,0.8829787234042553,0.26666666666666666,0.10613908394324427,0.6512467,0.6912246,0.67064035,0.14705882352941177,0.64489305,0.9761237502098083,0.3333333333333333,0.875,0.0,0.8666666666377778,1.0,research,textsplitter,1000,200
64,0.8717948717948718,0.1940928270042194,0.06089291861115071,0.57250804,0.56125295,0.5668246,0.13636363636363635,0.8228593,0.952942967414856,0.0,0.5714285714285714,0.0,0.8041666666465626,0.8,research,textsplitter,1000,200
60,0.9473684210526315,0.1724137931034483,0.07045790515884834,0.57282186,0.60463,0.5882963,0.12643678160919541,0.6884357,0.973277747631073,0.0,0.8,0.0,0.99999999998,1.0,research,textsplitter,1000,200
63,0.6356589147286822,0.23255813953488372,0.0770398853867144,0.65913963,0.7329489,0.69408756,0.16049382716049382,0.85372007,0.9802164435386658,0.4,0.5,0.9558398673458127,0.99999999998,1.0,research,textsplitter,1000,200
50,0.47,0.20805369127516782,0.0324673549094319,0.5769548,0.66367066,0.61728215,0.1111111111111111,0.6489718,0.9736165404319763,0.6666666666666666,0.8181818181818182,0.8812067782262734,0.99999999998,0.75,research,textsplitter,1000,200
38,0.8095238095238095,0.29896907216494845,0.1360507980346133,0.58172977,0.6305808,0.605171,0.2033898305084746,0.64458823,0.9580093026161194,0.0,1.0,0.9651829850431053,0.99999999998,0.75,research,textsplitter,1000,200
20,0.9139784946236559,0.18652849740932645,0.0,0.59182465,0.55554473,0.5731111,0.04838709677419355,0.7422826,0.9685869216918945,0.4,0.8,0.9315583930153183,0.6791666666496875,0.0,research,textsplitter,1500,150
3,0.3392857142857143,0.13924050632911392,0.0,0.52231985,0.61957246,0.5668047,0.09333333333333334,0.48438495,0.8621363639831543,0.0,0.9090909090909091,0.7837912413286976,0.94999999997625,0.0,research,textsplitter,1500,150
51,0.6717557251908397,0.17699115044247787,0.044853065366080296,0.5677197,0.6263146,0.5955794,0.13636363636363635,0.68298876,0.9819804430007935,0.23529411764705882,0.6,0.8481573798868878,0.99999999998,1.0,research,textsplitter,1500,150
46,0.7533333333333333,0.23048327137546468,0.10829153515550638,0.586973,0.69914186,0.638166,0.16666666666666666,0.746886,0.930880069732666,0.0,0.7142857142857143,0.9869450126251954,0.99999999998,1.0,research,textsplitter,1500,150
41,0.7737226277372263,0.25203252032520324,0.12391659909628383,0.6678789,0.70149004,0.684272,0.17045454545454544,0.7504147,0.9818199276924133,0.5,0.125,0.0,0.999999999975,1.0,research,textsplitter,1500,150
24,0.5591397849462365,0.18543046357615894,0.0,0.5144631,0.58826476,0.5488943,0.07272727272727272,0.7616275,0.9141206741333008,0.0,0.8,0.0,0.999999999975,0.0,research,textsplitter,1500,150
19,0.8620689655172413,0.23121387283236994,0.09973730574129358,0.5579892,0.6128185,0.58412004,0.14285714285714285,0.6106295,0.9551007747650146,0.0,0.6,0.0,0.499999999975,1.0,research,textsplitter,1500,150
