question_num,length_score,rouge_l_score,bleu_score,bert_score_precision,bert_score_recall,bert_score_f1,jaccard_score,cosine_similarity,cosine_similarity_spacy,spacy_score,ragas_score_faithfulness,ragas_score_answer_relevancy,ragas_score_context_precision,ragas_score_context_recall,mds,audience_type,experiment_name,chunksize,chunkoverlap,embedding_model,config_name,num_retrieve,llm_name,llm_temp,llm_top_p,llm_do_sample,llm_repetition_penalty,inference_time
0,0.7230769230769231,0.3275862068965517,0.1659299688127225,0.7059459,0.737064,0.7211695,0.18604651162790697,0.93016326,0.9720172882080078,0.4,0.8333333333333334,0.8910571156668639,0.94999999997625,1.0,0.8400659881511462,marketing,mds,512,100,multi-qa-mpnet-base-dot-v1,greedy_baseline,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777
7,0.7,0.6666666666666667,0.4710012314144844,0.75815547,0.84631056,0.7998113,0.5,0.9413925,0.9330576062202454,1.0,0.5,0.9398413405169764,0.99999999995,1.0,0.7526855395157217,marketing,mds,512,100,multi-qa-mpnet-base-dot-v1,greedy_baseline,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777
11,0.2564102564102564,0.0,0.0,0.5238125,0.63359606,0.57349765,0.0,0.33186248,0.7751615643501282,0.0,1.0,0.8125713999353965,0.5333333333155555,1.0,0.6838369693382033,marketing,mds,512,100,multi-qa-mpnet-base-dot-v1,greedy_baseline,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777
19,0.6949152542372882,0.19642857142857145,0.0,0.581284,0.6242326,0.60199326,0.08823529411764706,0.5664312,0.9241702556610107,0.0,0.0,0.7815309868798256,0.5888888888692593,0.5,3.99999999814448e-10,marketing,mds,512,100,multi-qa-mpnet-base-dot-v1,greedy_baseline,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777
27,0.6666666666666666,0.31034482758620696,0.08519620064976903,0.72770846,0.78595537,0.75571126,0.14285714285714285,0.8649589,0.9364462494850159,0.0,0.5,0.9613067064643774,0.8874999999778125,1.0,0.7285618816869022,marketing,mds,512,100,multi-qa-mpnet-base-dot-v1,greedy_baseline,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777
28,0.7083333333333334,0.4235294117647058,0.2575767192266146,0.6740467,0.72348017,0.69788915,0.2413793103448276,0.9091979,0.9696468114852905,0.4,0.8,0.9862418759307103,0.99999999998,1.0,0.8516359891417101,marketing,mds,512,100,multi-qa-mpnet-base-dot-v1,greedy_baseline,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777
33,0.8260869565217391,0.48888888888888893,0.17029078484626484,0.8017686,0.67206883,0.73121184,0.35294117647058826,0.93999773,0.9637835025787354,1.0,0.6666666666666666,0.9760353732951569,0.99999999998,1.0,0.8176371323699025,marketing,mds,512,100,multi-qa-mpnet-base-dot-v1,greedy_baseline,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777
53,0.5806451612903226,0.21568627450980393,0.0,0.6512578,0.7044335,0.6768028,0.15384615384615385,0.70393544,0.9553059339523315,0.0,1.0,0.9159482090560885,0.99999999998,1.0,0.8754076053439601,marketing,mds,512,100,multi-qa-mpnet-base-dot-v1,greedy_baseline,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777
63,0.4470588235294118,0.4444444444444445,0.1357151061152148,0.6454012,0.7771799,0.70518696,0.27906976744186046,0.90264946,0.9796378016471863,0.0,0.6666666666666666,0.9676786120294947,0.99999999998,1.0,0.8078417859228849,marketing,mds,512,100,multi-qa-mpnet-base-dot-v1,greedy_baseline,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777
76,0.47560975609756095,0.22222222222222227,0.0,0.6236832,0.7174789,0.6673012,0.14285714285714285,0.7790536,0.949410080909729,0.0,0.16666666666666666,0.0,0.6791666666496875,1.0,3.9999999964116136e-10,marketing,mds,512,100,multi-qa-mpnet-base-dot-v1,greedy_baseline,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777
87,0.25,0.4,0.21806393357781367,0.60204506,0.88120407,0.71535456,0.32142857142857145,0.9231956,0.9453986287117004,0.5,1.0,1.0000000000000002,0.249999999975,1.0,0.5406933807237755,marketing,mds,512,100,multi-qa-mpnet-base-dot-v1,greedy_baseline,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777
92,0.6216216216216216,0.3464566929133859,0.0,0.7115119,0.68057215,0.6956982,0.0851063829787234,0.6246887,0.9649837613105774,0.0,0.7142857142857143,0.850937006329356,0.5666666666525,0.7777777777777778,0.6923666384028657,marketing,mds,512,100,multi-qa-mpnet-base-dot-v1,greedy_baseline,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777
95,0.9361702127659575,0.2765957446808511,0.21217947051943883,0.6978306,0.6776041,0.68756866,0.1794871794871795,0.62052155,0.9641568660736084,0.0,1.0,0.9587363351370322,0.8874999999778125,0.6666666666666666,0.8650144173651717,marketing,mds,512,100,multi-qa-mpnet-base-dot-v1,greedy_baseline,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777
103,0.5531914893617021,0.5205479452054794,0.13011054601051442,0.75351435,0.86207736,0.80414826,0.4,0.92990655,0.9706050753593445,0.0,1.0,0.9811418522539691,0.999999999975,1.0,0.938356467916731,marketing,mds,512,100,multi-qa-mpnet-base-dot-v1,greedy_baseline,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777
110,0.8392857142857143,0.27184466019417475,0.0,0.7018537,0.6534131,0.6767677,0.15789473684210525,0.8659917,0.9496880769729614,0.0,0.5,0.9783195694538568,0.7678571428379464,1.0,0.6894057539378173,marketing,mds,512,100,multi-qa-mpnet-base-dot-v1,greedy_baseline,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,174.784777
0,0.8301886792452831,0.27586206896551724,0.13225666139229075,0.667039,0.66565585,0.6663467,0.25862068965517243,0.69336176,0.9795292615890503,0.0,1.0,0.900226116555862,0.94999999997625,1.0,0.8575991244741178,research,mds,512,100,multi-qa-mpnet-base-dot-v1,greedy_baseline,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,291.99586
7,0.7912087912087912,0.29050279329608936,0.13901042042669962,0.61862814,0.65686005,0.63717115,0.10526315789473684,0.8238177,0.9464172720909119,0.0,0.6,0.935990648391447,0.99999999998,0.25,0.7540780869309822,research,mds,512,100,multi-qa-mpnet-base-dot-v1,greedy_baseline,5,mistralai/Mistral-7B-Instruct-v0.3,0.0,1.0,False,1.0,291.99586
